SIDNEY                         => Hi, I'm Sidney. And I love to TEC-9. The popular TEC-9 is advertised by its makers as being tough as the toughest customer.
BLACK MAN                      => That's a TEC-9. It's a cheap ass spray gun outta South Miami.
BLACK VOICE                    => Cost three-eighty retail. I get them for two hundred and sell 'em for eight.
ORDELL                         => This TEC-9? They advertise it as being the most popular gun in American crime. Can you believe that shit? It actually says that on the little booklet that comes with it. "Most Popular Gun in American Crime," like they're proud of that shit.
ORDELL                         => Check out this body-builder chick... Now see what she got. That's a Styer aug. Styer Aug's a bad motherfucker. Listen.
ORDELL                         => Shit's expensive, man. Comes from Austria. My customers don't know shit about it, so there ain't no demand.  Baby, I could use some more ice.
ORDELL                         => But put that bad boy in a flick, every motherfucker out there want one. I'm serious as a heart attack. Them Hong Kong movies came out, every nigga gotta have a forty-five. And they don't want one, they want two, cause nigga want to be "The Killer." What they don't know, and that movie don't tell you is a .45 has a serious fuckin' jammin' problem. I always try and steer a customer towards a 9- millimeter. Damn near the same weapon, don't have half the jammin' problems. But some niggas out there, you can't tell them anything. They want a .45. The killer had a .45, they want a .45.
ORDELL                         => Thanks, Baby.
LOUIS                          => Who's your partner?
ORDELL                         => Mr. Walker. He runs a fishing boat in Mexico. I deliver the merchandise to him, gets it to my customers. On all my bulk sales, anyway. Nigga didn't have a pot to piss in or a window to throw it out 'fore I set 'em up. Now, motherfucker's rollin' in cash. He got himself a yacht, with all kinds of high tech navigational shit on it.  AK-47, the very best there is.
ORDELL                         => When you absolutely, positively, gotta kill every motherfucker in the room, accept no substitute. That there is the Chinese one. I pay eight- fifty and double my money.
ORDELL                         => Get that for me, will ya baby?
MELANIE                        => You know it's for you.
ORDELL                         => Girl, you better not make me go over there and put my feet to ya.
MELANIE                        => Hello.
MELANIE                        => It's for you.
ORDELL                         => Yeah.  Hey, Junebug, what's up
MELANIE                        => It's boring, isn't it?
LOUIS                          => I can sit through it once.
MELANIE                        => He thinks he's Joe Gunn now.
LOUIS                          => I'm impressed. He knows a lot.
MELANIE                        => He's just repeating shit he overheard. He ain't any more a gun expert than I am.
MELANIE                        => Want a hit?
LOUIS                          => Sure.
MELANIE                        => When did you get out of jail?
LOUIS                          => Four days ago.
MELANIE                        => Where at?
LOUIS                          => Susanville.
MELANIE                        => How long?
LOUIS                          => Two months shy of four years.
MELANIE                        => Four years?
LOUIS                          => Uh-huh.
MELANIE                        => What for?
LOUIS                          => Bank robbery.
MELANIE                        => Really, I'm impressed.
MELANIE                        => Four years that's a long fuckin time.
ORDELL                         => See, what did I tell you? Man in New York wants a 9 millimeter Smith and Wesson Model 5946. Why does he want it? It's the gun that nigga on "New York Undercover" uses. Because of that nigga, I can sell it to this nigga for twelve-fifty.
LOUIS                          => What's your cost?
ORDELL                         => As low as two.
LOUIS                          => Are you serious?
ORDELL                         => That's what I been tellin' you. Start adding these motherfuckin' figures up, and you tell me this ain't a business to be in.
ORDELL                         => I got me five M-60 machine guns. These came straight from the Gulf War. I sold me three of them so far, twenty grand a piece.
LOUIS                          => That's good money.
ORDELL                         => Louis, this is it, man. I'm gonna make me a million dollars out of this. I already got me a half-a- million sittin' in Mexico. When I do this last delivery, I'm gonna make me another half-million.
LOUIS                          => Then what?
ORDELL                         => I get out. Spend the rest of my life spending.
ORDELL                         => Who is it?
MELANIE                        => It's Beaumont.
ORDELL                         => BeaumontOrdell. What's the problem?  What the fuck you doin' in jail?  What the fuck you doin' that for?  Ain't you got better sense than to be drivin' drunk carrying a goddam pistol?
ORDELL                         => - Beaumont. Beaumont. Listen to me. Number one, you need to chill out, nigga. Bad as this shit is, this shit ain't as bad as you think it is.  Course you're scared. That's what these motherfuckers get paid for scarin' the shit outta ya. That's their job. And my job is to get you the fuck home so let me tell you what is gonna happen... May I speak?... Thank you... You gonna spend the night in jail; it's too late to get you out now. Tomorrow, they gonna take you into court. I'm gonna be there. Judge gonna set your bail. I'm gonna pay your bail, they gonna cut you loose. By tomorrow night, you'll be back home, I promise.  So just calm your ass down, and I'll see you tomorrow.  You owe me a helluva lot more than one, nigga.  See you.
MALE VOICE                     => ... the judge doesn't give a fuck about that. He's ready to habitualize you. Is that what you want - you wanna look at ten years?
MAX                            => Just overnight is all. Tomorrow I'll get you out, I promise. But it means I gotta pick you up tonight.
MAX                            => Reggie, there ain't no two ways about it. You're spending the night in jail, but I already told you I'll get you out tomorrow. Now where are you?  You're at your mother's house, aren't you?
MAX                            => Okay. Just stay put till I come for you.  Reggie, do yourself a really big favor and be there when I get there.
MAX                            => How can I help you?
ORDELL                         => Where would you like me to put my ash?
MAX                            => Use that coffee cup on the desk.
ORDELL                         => And I need me a bond for ten thousand.
