,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
,,,,,,,,
"     Unlike the rest of the scenery, THE MIRRORS ARE PERFECTLY CLEAN",,,,,,,,
     AND GLISTENING.,,,,,,,,
,,,,,,,,
                              BEN,,,,,,,,
                  Did you clean them?,,,,,,,,
,,,,,,,,
                             LORENZO,,,,,,,,
                  What?,,,,,,,,
,,,,,,,,
                              BEN,,,,,,,,
"                  The mirrors, why are they so clean?                     ",,,,,,,,
,,,,,,,,
     Lorenzo smiles-,,,,,,,,
,,,,,,,,
                              LORENZO,,,,,,,,
"                  That's Gary Lewis, the fellow who                       ",,,,,,,,
                  worked here before you. He was,,,,,,,,
                  completely obsessed with these damn,,,,,,,,
                  mirrors. He'd spend the entire night,,,,,,,,
                  polishing them.,,,,,,,,
,,,,,,,,
                              BEN,,,,,,,,
                  Why did he leave?,,,,,,,,
,,,,,,,,
                              LORENZO,,,,,,,,
                  No idea. Just didn't show up one,,,,,,,,
                  night. I take it he's found a better                    ,,,,,,,,
                  opportunity somewhere else.                             ,,,,,,,,
                              (MORE),,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
                                                           (CONTINUED),,,,,,,,
,,,,,,,,
                                                             11.,,,,,,,,
14   CONTINUED: (2)                                                14,,,,,,,,
                            LORENZO (CONT'D),,,,,,,,
"                I'm not one to complain, but I never",,,,,,,,
                really liked him much... Could never be,,,,,,,,
                bothered to say hello or at least ask,,,,,,,,
"                ""how are you doing?""... I mean, damn, do",,,,,,,,
                we work together as a team or what?!,,,,,,,,
"                You, on the other hand, seem like a",,,,,,,,
                nice guy. How long has it been since                     ,,,,,,,,
                you left the NYPD?                                       ,,,,,,,,
,,,,,,,,
                            BEN                                          ,,,,,,,,
                Almost a year.                                           ,,,,,,,,
,,,,,,,,
                            LORENZO                                      ,,,,,,,,
                Why did you resign from the force? You                   ,,,,,,,,
"                were a detective, is that correct?                       ",,,,,,,,
,,,,,,,,
                            BEN                                          ,,,,,,,,
                I was wounded during a holdup... It kind                 ,,,,,,,,
                of changed my perspective on things.                     ,,,,,,,,
,,,,,,,,
     Ben and Lorenzo reach the next floor.,,,,,,,,
,,,,,,,,
                              LORENZO                                    ,,,,,,,,
                Third floor... Ladies' department. You,,,,,,,,
                gotta be careful here. When the wind,,,,,,,,
"                blows, sometimes the tiles fly off the",,,,,,,,
                roof and they'll just snap your ear,,,,,,,,
"                off, if you follow what I'm saying...",,,,,,,,
,,,,,,,,
     Lorenzo checks the time on his watch.,,,,,,,,
,,,,,,,,
                            LORENZO (CONT'D),,,,,,,,
"                Well, I'll let you get acquainted with",,,,,,,,
                the rest of the store on your own.,,,,,,,,
,,,,,,,,
     They turn around.,,,,,,,,
,,,,,,,,
                            LORENZO (CONT'D),,,,,,,,
"                Follow me, I'll show you our",,,,,,,,
"                ""headquarters"" and I'll get you one of",,,,,,,,
                these uniforms.,,,,,,,,
,,,,,,,,
,,,,,,,,
15   EXT. DUSK - MAYFLOWER - SECURITY GUARD TRAILER                15,,,,,,,,
,,,,,,,,
     It's almost night. Ben and Lorenzo have finished their visit and,,,,,,,,
     exit the department store.                                          ,,,,,,,,
,,,,,,,,
                            LORENZO                                      ,,,,,,,,
                We were a pretty big team working here                   ,,,,,,,,
                before the fire. When you stop to                        ,,,,,,,,
                think that of all the department                         ,,,,,,,,
"                stores in New York, this one was the                     ",,,,,,,,
"                most beautiful, the most luxurious... It                 ",,,,,,,,
"                breaks your heart, it really does...                     ",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
                                                           (CONTINUED),,,,,,,,
,,,,,,,,
                                                                12.,,,,,,,,
15   CONTINUED:                                                       15,,,,,,,,
,,,,,,,,
,,,,,,,,
"     Outside the building behind the fence blocking its entry, a",,,,,,,,
     construction trailer has been outfitted for the guards.,,,,,,,,
,,,,,,,,
                               LORENZO (CONT'D)                             ,,,,,,,,
                   Here you go. This is where you'll be,,,,,,,,
                   spending most of your time. At least,,,,,,,,
                   you've got electricity in here. It's,,,,,,,,
"                   nice and warm, and there's even a TV.",,,,,,,,
,,,,,,,,
,,,,,,,,
16   INT. NIGHT - SECURITY GUARD TRAILER                              16,,,,,,,,
,,,,,,,,
     Cartoons flicker on an old television set. All bundled up in a,,,,,,,,
"     coat, and wearing a woolen hat, a young boy is watching TV.",,,,,,,,
     Lorenzo and Ben enter the mobile home-,,,,,,,,
,,,,,,,,
                               LORENZO,,,,,,,,
"                   Lorenzo Junior, my grandson... Say hello",,,,,,,,
                   Lorenzo.,,,,,,,,
,,,,,,,,
                               LORENZO JR.,,,,,,,,
                   Hello.,,,,,,,,
,,,,,,,,
                               LORENZO,,,,,,,,
                   Lorenzo and I are going to the movies,,,,,,,,
                   tonight...                                               ,,,,,,,,
,,,,,,,,
     Lorenzo strokes his grandson on the head and proceeds to the,,,,,,,,
"     back of the mobile home, leaving Ben alone with the child. The",,,,,,,,
     boy looks almost hypnotized by the images on TV.,,,,,,,,
,,,,,,,,
                               BEN,,,,,,,,
