,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
           STODDARD,,,,,,,,
     (as he holds up the,,,,,,,,
"     ""Picasso"" letter from",,,,,,,,
"     the Boyfriend, to read",,,,,,,,
     it. He reads:),,,,,,,,
"The Professor, the Boyfriend,",,,,,,,,
"""...you behave like a slut..."",",,,,,,,,
this is who you like...?,,,,,,,,
     (he holds up the,,,,,,,,
     advertisement of the,,,,,,,,
     Regency Club),,,,,,,,
Aah...fuck,,,,,,,,
     (he holds up the photo,,,,,,,,
     of her hair),,,,,,,,
She dyed her hair. What do they,,,,,,,,
"do, her hair grows out, what do",,,,,,,,
they do when they realize who,,,,,,,,
she is...?,,,,,,,,
     (pause),,,,,,,,
,,,,,,,,
,,,,,,,,
          SCOTT,,,,,,,,
"     (under his breath, not",,,,,,,,
     realizing he's speaking),,,,,,,,
They kill her.,,,,,,,,
,,,,,,,,
          BURCH,,,,,,,,
"     (reacting, as if to",,,,,,,,
"     say, ""That's the first",,,,,,,,
"     sensible thing I've heard"")",,,,,,,,
You're fucken A Right they kill,,,,,,,,
her. Okay. Good.,,,,,,,,
          (MORE),,,,,,,,
,,,,,,,,
                                                          50.,,,,,,,,
,,,,,,,,
,,,,,,,,
                      BURCH (CONT'D),,,,,,,,
            Now: Let's talk some commonsense:,,,,,,,,
                 (pause),,,,,,,,
            What can you do for me?,,,,,,,,
                 (to Miller),,,,,,,,
            ...who is that...?,,,,,,,,
                 (Miller whispers to,,,,,,,,
                 Burch. To Scott),,,,,,,,
            ...Get in here...,,,,,,,,
                 (Scott comes and stands,,,,,,,,
                 by Burch),,,,,,,,
,,,,,,,,
,,,,,,,,
"Scott, and then Miller, looks at Burch's clean-cut and very",,,,,,,,
"fit assistant, Stoddard. There is a pause, and then Burch",,,,,,,,
"motions Stoddard to leave the room, which he does. Pause.",,,,,,,,
,,,,,,,,
                      BURCH,,,,,,,,
                 (quietly),,,,,,,,
            ...what can you do for me? What,,,,,,,,
            can you do for me - I need it,,,,,,,,
            now - I need it before the Press,,,,,,,,
            gets it on Monday. Cause they,,,,,,,,
            will kill her. The jackals start,,,,,,,,
"            a feeding frenzy, and she's red.",,,,,,,,
            Help me.,,,,,,,,
,,,,,,,,
"Miller nods to an Aide, who comes forward, with a white",,,,,,,,
scrap of paper. He hands it to Burch.,,,,,,,,
,,,,,,,,
                      MILLER,,,,,,,,
            Sir: This is the number of a,,,,,,,,
            public phone in Downtown Boston.,,,,,,,,
                 (Burch nods),,,,,,,,
"            It's a cutout, between the",,,,,,,,
"            Bordello, and the abductors. A",,,,,,,,
            call is placed when they have a,,,,,,,,
            package to deliver.,,,,,,,,
,,,,,,,,
                      BURCH,,,,,,,,
            ...you going to stake out the,,,,,,,,
            phone...?,,,,,,,,
,,,,,,,,
                       MILLER,,,,,,,,
                 (nods),,,,,,,,
            We have a watch on the phone.,,,,,,,,
            More importantly: N.S.A. reports,,,,,,,,
            calls placed to that phone.,,,,,,,,
            Regularly.,,,,,,,,
,,,,,,,,
                      BURCH,,,,,,,,
            They can track calls to a payphone?,,,,,,,,
,,,,,,,,
                                                             51.,,,,,,,,
,,,,,,,,
,,,,,,,,
                      MILLER,,,,,,,,
            In this case they can.,,,,,,,,
,,,,,,,,
                      BURCH,,,,,,,,
            How?,,,,,,,,
,,,,,,,,
                      MILLER,,,,,,,,
            They were made from a Federal,,,,,,,,
            Prison.,,,,,,,,
                 (he gestures to the,,,,,,,,
"                 Aide, who shows to",,,,,,,,
                 Burch and the camera a,,,,,,,,
                 photo of a smiling man,,,,,,,,
"                 in his forties, in an",,,,,,,,
                 expensive suit. Of photo:),,,,,,,,
            This is Eli Assani. He is a,,,,,,,,
"            Lebanese National, serving life",,,,,,,,
"            without, for kidnapping. He was",,,,,,,,
            the head man in a white slavery,,,,,,,,
            scheme.,,,,,,,,
,,,,,,,,
                      BURCH,,,,,,,,
            And where is he?,,,,,,,,
,,,,,,,,
                      MILLER,,,,,,,,
            He's in Lewisberg. We have a,,,,,,,,
            Plan...,,,,,,,,
                 (pause),,,,,,,,
            I hesitate to...,,,,,,,,
,,,,,,,,
                      BURCH,,,,,,,,
            Give it to me...,,,,,,,,
,,,,,,,,
"ANGLE, on an Aide who comes in and passes a piece of paper",,,,,,,,
"to Miller, who reads it and looks up.",,,,,,,,
,,,,,,,,
                      MILLER,,,,,,,,
            They've got some action on the,,,,,,,,
            Payphone...,,,,,,,,
,,,,,,,,
Scott and Anton start to get to their feet.,,,,,,,,
,,,,,,,,
"EXT. COPLEY SQUARE, DOWNTOWN. NIGHT.",,,,,,,,
,,,,,,,,
In the foreground we see a lonely payphone in the deserted,,,,,,,,
square. It is festooned with ads for escort services. In the,,,,,,,,
deep background we see the lights on in a corner bank,,,,,,,,
