,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
          ,,,,,,,,
          The brass plate on the partially open door announces C.,,,,,,,,
"          COLLINS, ASSISTANT MANAGER. She's filling out paperwork as",,,,,,,,
          there's a KNOCK and a group of other employees and operators,,,,,,,,
          appears in the doorway.,,,,,,,,
          ,,,,,,,,
                               OPERATOR,,,,,,,,
"                     Hey, Chris...we're having an Oscar",,,,,,,,
"                     party tonight at my apartment, you",,,,,,,,
                     want to come?,,,,,,,,
                               CHRISTINE,,,,,,,,
                     I can't...I've got a million forms,,,,,,,,
                     to fill out --,,,,,,,,
          ,,,,,,,,
                               OPERATOR,,,,,,,,
"                     C'mon, please, they can wait --",,,,,,,,
          ,,,,,,,,
                               CHRISTINE,,,,,,,,
"                     Sandy, you guys blew out the phone",,,,,,,,
"                     lines between here and Baltimore,",,,,,,,,
"                     someone has to clean up the mess,",,,,,,,,
"                     and that's me. Besides, I've got a",,,,,,,,
"                     radio right here, I can follow the",,,,,,,,
                     whole thing.,,,,,,,,
          ,,,,,,,,
                               OPERATOR,,,,,,,,
                     You're sure?,,,,,,,,
          ,,,,,,,,
          CHANGELING A True Story                                    130.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
                                 CHRISTINE,,,,,,,,
"                     Positive.    Go on, have fun.",,,,,,,,
          ,,,,,,,,
          They head off. Christine focuses on her work.     There's another,,,,,,,,
          knock on the door.,,,,,,,,
          ,,,,,,,,
                               CHRISTINE,,,,,,,,
                     I said I can't go --,,,,,,,,
          ,,,,,,,,
                               MR. HARRIS,,,,,,,,
                     Are you sure?,,,,,,,,
          ,,,,,,,,
          She looks up to see Ben Harris in the doorway.    He smiles.,,,,,,,,
          ,,,,,,,,
                               MR. HARRIS,,,,,,,,
                     I'm meeting some friends for dinner,,,,,,,,
                     at Musso and Frank's on Hollywood.,,,,,,,,
                     They're going to pipe the Oscar,,,,,,,,
                     ceremony through to the restaurant.,,,,,,,,
                     Should be quite a night. I'd love,,,,,,,,
                     it if you'd come.,,,,,,,,
          ,,,,,,,,
                               CHRISTINE,,,,,,,,
"                     Ben, that's very sweet, and I wish",,,,,,,,
                     I could...but I really need to stay,,,,,,,,
                     and finish this.,,,,,,,,
          ,,,,,,,,
"          He nods, taking the rejection well.   Starts off when:",,,,,,,,
          ,,,,,,,,
                               CHRISTINE,,,,,,,,
                     Ben...? I put down two dollars on,,,,,,,,
"                     ""It Happened One Night"" for best",,,,,,,,
                     picture. Seems I'm the only one,,,,,,,,
                     here who thinks it has a chance,,,,,,,,
"                     against ""Cleopatra."" If I win, how",,,,,,,,
                     about we have dinner tomorrow night,,,,,,,,
                     to celebrate?,,,,,,,,
                               MR. HARRIS,,,,,,,,
"                     You've got a deal, Christine.   Good",,,,,,,,
                     night.,,,,,,,,
          ,,,,,,,,
                                 CHRISTINE,,,,,,,,
                     'Night.,,,,,,,,
          ,,,,,,,,
                               MR. HARRIS,,,,,,,,
                     How about I call you if you win?,,,,,,,,
          ,,,,,,,,
                               CHRISTINE,,,,,,,,
                     I'll be here.,,,,,,,,
          ,,,,,,,,
"          And with a smile, he's gone.",,,,,,,,
          ,,,,,,,,
          CHANGELING A True Story                                     131.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT. TELEPHONE COMPANY - SWITCHBOARD ROOM - NIGHT,,,,,,,,
          ,,,,,,,,
"          The night shift operators are working, a smaller group but",,,,,,,,
          still busy. We PAN through them until we start to HEAR the,,,,,,,,
"          sound of radio-miked applause, then:",,,,,,,,
          ,,,,,,,,
                               IRWIN S. COBB,,,,,,,,
                         (on radio),,,,,,,,
"                     Thank you. And now, it gives me",,,,,,,,
                     distinct honor to present the,,,,,,,,
                     category of Best Picture for 1934.,,,,,,,,
          ,,,,,,,,
          INT. CHRISTINE'S OFFICE - CONTINUOUS,,,,,,,,
          ,,,,,,,,
          Where Christine is still working as the Academy Awards of,,,,,,,,
          1935 play themselves out on the radio.,,,,,,,,
          ,,,,,,,,
                               IRWIN S. COBB,,,,,,,,
                         (on radio),,,,,,,,
"                     The nominees are ""The Gay Divorcee,""",,,,,,,,
"                     ""Here Comes the Navy,"" ""The Barrets",,,,,,,,
"                     of Wimpole Street,"" ""One Night of",,,,,,,,
"                     Love,"" ""The Thin Man,"" ""Cleopatra"" --",,,,,,,,
          ,,,,,,,,
                               CHRISTINE,,,,,,,,
                     Over-rated....,,,,,,,,
          ,,,,,,,,
                               IRWIN S. COBB,,,,,,,,
                         (on radio),,,,,,,,
"                     ""Viva Villa,"" ""The White Parade,""",,,,,,,,
"                     and ""It Happened One Night.""",,,,,,,,
          ,,,,,,,,
                               CHRISTINE,,,,,,,,
"                     Clark Gable, Claudette Colbert.   I",,,,,,,,
                     rest my case.,,,,,,,,
          ,,,,,,,,
                                IRWIN S. COBB,,,,,,,,
                         (on radio),,,,,,,,
                     And the Oscar for Best Picture goes,,,,,,,,
                     to....,,,,,,,,
                         (beat),,,,,,,,
"                     ""It Happened One Night.""",,,,,,,,
          ,,,,,,,,
