,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
                                     NINA,,,,,,,,
                          I'm so proud of you...I could just,,,,,,,,
                          die!,,,,,,,,
          ,,,,,,,,
          He is pulled away from her by the backslappers. Now Cameron is,,,,,,,,
          responding to this strange new sensation -- the warmth of public,,,,,,,,
"          acclaim. He regains his poise, hoping his embarrassing anger wasn't",,,,,,,,
"          noticed. Chuck is now beside him, reaching up to the wound on",,,,,,,,
          Cameron's face and pulling away the plastic makeup patch with fake,,,,,,,,
"          blood inside; the ""wound"" is gone. He starts feeling Cameron's",,,,,,,,
"          shoulders, arms and ribs for possible damage.",,,,,,,,
          ,,,,,,,,
                                     CAMERON,,,,,,,,
"                             (quietly to Chuck,",,,,,,,,
                              wincing in pain),,,,,,,,
                          Why didn't you tell me about the,,,,,,,,
                          awning? I could have been killed.,,,,,,,,
          ,,,,,,,,
                                               - 58 -,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
                                          CHUCK,,,,,,,,
                               No chance. You were in your,,,,,,,,
                               mother's arms from the time you hit,,,,,,,,
                               the sugarglass skylight. Those,,,,,,,,
                               stunt men you fell on would have got,,,,,,,,
                               you out of anything.,,,,,,,,
          ,,,,,,,,
                                            CAMERON,,,,,,,,
                               Stunt men?,,,,,,,,
          ,,,,,,,,
                                          CHUCK,,,,,,,,
                               The one with the tits and the other,,,,,,,,
                               guy.,,,,,,,,
          ,,,,,,,,
                                          CAMERON,,,,,,,,
                               Why didn't you tell me?     Afraid I'd,,,,,,,,
                               chicken out?,,,,,,,,
          ,,,,,,,,
                                          CHUCK,,,,,,,,
                               Eli likes some things spontaneous.,,,,,,,,
                               Makes 'em more believable. You're,,,,,,,,
                               okay. Whaddya want?,,,,,,,,
          ,,,,,,,,
                                          CAMERON,,,,,,,,
                               Not to think I'm going crazy.,,,,,,,,
          ,,,,,,,,
          99   ANGLE ON ELI,,,,,,,,
          ,,,,,,,,
               He is moving through the crowd.,,,,,,,,
          ,,,,,,,,
                                          ELI,,,,,,,,
                                  (yelling),,,,,,,,
"                               Where's Raymond? Raymond, were you",,,,,,,,
                               watching that closely?,,,,,,,,
          ,,,,,,,,
                                          RAYMOND,,,,,,,,
                                  (appearing),,,,,,,,
                               What can I tell you?     I'm a brave,,,,,,,,
                               son-of-a-bitch.,,,,,,,,
          ,,,,,,,,
"               There is general laughter.    Eli, raising his arm like a referee.",,,,,,,,
          ,,,,,,,,
                                         ELI,,,,,,,,
                               All right. We're doing the,,,,,,,,
                               coverage. Camera here.,,,,,,,,
          ,,,,,,,,
               Eli continues toward Cameron.    Chuck is spraying ethyl chloride on,,,,,,,,
               his bare tattooed shoulder.,,,,,,,,
          ,,,,,,,,
                                             - 59 -,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
                                           ELI (CONT'D),,,,,,,,
                                   (to Chuck),,,,,,,,
                                Careful. Don't blind the eagle.,,,,,,,,
                                   (to Cameron),,,,,,,,
                                I owe you six hundred bucks.,,,,,,,,
          ,,,,,,,,
                                           CAMERON,,,,,,,,
                                   (acknowledging the,,,,,,,,
                                    compliment),,,,,,,,
"                                If anything bothered you, be happy",,,,,,,,
                                to do it again.,,,,,,,,
          ,,,,,,,,
"                Eli laughs and moves off, Cameron staring after him.",,,,,,,,
          ,,,,,,,,
                                           CAMERON,,,,,,,,
                                   (to Chuck),,,,,,,,
                                I can't take my eyes off the son-of-,,,,,,,,
                                a-bitch. Everybody does what he,,,,,,,,
"                                wants them to, even me. I feel like",,,,,,,,
                                thankin' him 'cause I fell on my,,,,,,,,
                                ass.,,,,,,,,
          ,,,,,,,,
                                           CHUCK,,,,,,,,
                                   (sarcasm),,,,,,,,
                                ...It's just a crush.   You'll get,,,,,,,,
                                over it.,,,,,,,,
          ,,,,,,,,
          99A   ANGLE ON SAM,,,,,,,,
          ,,,,,,,,
"                Approaching Eli, who turns to Sam, eager, vulnerable.",,,,,,,,
          ,,,,,,,,
                                           ELI,,,,,,,,
                                What did you think?,,,,,,,,
          ,,,,,,,,
                                           SAM,,,,,,,,
"                                You are a smug, insufferable son-of-",,,,,,,,
                                a-bitch. When I read the insane,,,,,,,,
                                asylum scene to my wife and four,,,,,,,,
