,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
,,,,,,,,
,,,,,,,,
INT. GUIDO'S SUITE - DAY,,,,,,,,
,,,,,,,,
"The door is open as Guido enters. He's confused,",,,,,,,,
"worried that Luisa has gone, perhaps. But then he sees",,,,,,,,
"a figure moving about in the dressing room, emptying a",,,,,,,,
closet.,,,,,,,,
,,,,,,,,
                         GUIDO,,,,,,,,
          Darling?,,,,,,,,
,,,,,,,,
"Dante appears, stuffing Guido's things into a suitcase.",,,,,,,,
,,,,,,,,
                       DANTE,,,,,,,,
          We're going back to Rome.,,,,,,,,
,,,,,,,,
                       GUIDO,,,,,,,,
                 (anxious),,,,,,,,
          Where's Luisa?,,,,,,,,
,,,,,,,,
                       DANTE,,,,,,,,
          Luisa? She's gone. She's had it with,,,,,,,,
          you.,,,,,,,,
                 (different tone),,,,,,,,
"          And quite frankly, so have I. You",,,,,,,,
          drag a whole crew up here and then you,,,,,,,,
          just disappear.,,,,,,,,
                       (MORE),,,,,,,,
                                    p. 70,,,,,,,,
,,,,,,,,
                       DANTE (CONT'D),,,,,,,,
          I can't protect you anymore. And,,,,,,,,
          Claudia is in Rome. Makeup tests start,,,,,,,,
          today. Remember?,,,,,,,,
,,,,,,,,
                          GUIDO,,,,,,,,
                 (sits),,,,,,,,
          I can't.,,,,,,,,
,,,,,,,,
                       DANTE,,,,,,,,
          You can't. You must. Don't sit down.,,,,,,,,
,,,,,,,,
                          GUIDO,,,,,,,,
          I need help.,,,,,,,,
,,,,,,,,
                       DANTE,,,,,,,,
                 (still packing),,,,,,,,
          You've had help. You've seen the,,,,,,,,
"          doctors, you've seen the priests,",,,,,,,,
          you've taken the cure.,,,,,,,,
,,,,,,,,
                       GUIDO,,,,,,,,
          I'm not cured.,,,,,,,,
,,,,,,,,
                       DANTE,,,,,,,,
"                 (decisive, no arguments)",,,,,,,,
"          That's enough! The movie calls, your",,,,,,,,
          star has landed. Fausto - take his,,,,,,,,
          things please.,,,,,,,,
,,,,,,,,
"Dante walks over to the door with the suitcase, passing",,,,,,,,
Fausto. A Bellboy and a luggage cart stand in the hall.,,,,,,,,
,,,,,,,,
                      DANTE (CONT'D),,,,,,,,
"                (impatient,",,,,,,,,
                at the door),,,,,,,,
          Guido! Andiamo!,,,,,,,,
,,,,,,,,
,,,,,,,,
EXT. GATES OF CINECITTA - LATE AFTERNOON,,,,,,,,
,,,,,,,,
Guido's Roadster approaches the gates. There are,,,,,,,,
"PAPARAZZI gathered for the arrival of Claudia, for the",,,,,,,,
"beginning of filming. They drive through, solemn faced,",,,,,,,,
ignoring the press.,,,,,,,,
,,,,,,,,
                       GUIDO (O.S.),,,,,,,,
          I need more time.,,,,,,,,
,,,,,,,,
                       DANTE (O.S.),,,,,,,,
          Forget the script. Claudia's here now.,,,,,,,,
          She'll inspire you to do what you do,,,,,,,,
"          best, write with your camera.",,,,,,,,
                                     p. 71,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
EXT. CINECITTA - LATE AFTERNOON,,,,,,,,
,,,,,,,,
"The whole energy of this return to Cinecitta is hectic,",,,,,,,,
"people wanting to work, equipment waiting to work,",,,,,,,,
everybody and everything needing Guido's attention.,,,,,,,,
,,,,,,,,
Guido drives towards the stages. Guido feels the,,,,,,,,
pressure that the whole studio is gearing up for a,,,,,,,,
movie that doesn't exist.,,,,,,,,
,,,,,,,,
Guido is trying not to panic. He feels as if he's just,,,,,,,,
arrived in prison camp. He drives fast and straight to,,,,,,,,
"Stage 4, and as they head towards the studio, they are",,,,,,,,
immediately swamped. Pierpaolo has a hundred requests,,,,,,,,
for Guido...,,,,,,,,
,,,,,,,,
                       PIERPAOLO,,,,,,,,
"          Maestro, the screen tests are back",,,,,,,,
          from the lab. Will you watch them now?,,,,,,,,
,,,,,,,,
                       DANTE,,,,,,,,
          Tonight.   We'll watch everything,,,,,,,,
          tonight and make some decisions.,,,,,,,,
,,,,,,,,
                       PIERPAOLO,,,,,,,,
          Design meeting? Production meeting?,,,,,,,,
,,,,,,,,
                        DANTE,,,,,,,,
          Tonight.,,,,,,,,
,,,,,,,,
                        PIERPAOLO,,,,,,,,
          Tonight.,,,,,,,,
,,,,,,,,
Dante marches Guido towards the stage. Lilli joins,,,,,,,,
them.,,,,,,,,
,,,,,,,,
                       LILLI,,,,,,,,
          Claudia says where are you? She's in,,,,,,,,
          fine form. Feisty.,,,,,,,,
,,,,,,,,
                        GUIDO,,,,,,,,
                  (knows what that means),,,,,,,,
          Okay.,,,,,,,,
,,,,,,,,
                       LILLI,,,,,,,,
          She asked if she could read my script,,,,,,,,
          as she didn't have one. I said I,,,,,,,,
          didn't quite have mine.,,,,,,,,
,,,,,,,,
Lilli peels off and joins her assistant Roberta at a,,,,,,,,
rack of costumes.,,,,,,,,
                                    p. 72,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"INT. INSERT STAGE, CINECITTA - LATE AFTERNOON",,,,,,,,
,,,,,,,,
