,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
,,,,,,,,
    EXT. PARKING LOT - SAME,,,,,,,,
,,,,,,,,
    Lardner and McCullers watch Felix into the gym.,,,,,,,,
,,,,,,,,
                  MCCULLERS,,,,,,,,
        Looks like someone keeps trying to ,,,,,,,,
        do our job for us.,,,,,,,,
,,,,,,,,
                  LARDNER,,,,,,,,
"        If he does our job, he's our job.",,,,,,,,
,,,,,,,,
                  MCCULLERS,,,,,,,,
        I get it.,,,,,,,,
,,,,,,,,
    INT. GYM - SAME,,,,,,,,
,,,,,,,,
    FELIX,,,,,,,,
,,,,,,,,
    steps through the doorway he's standing in and strolls into ,,,,,,,,
    the crowded gym. He wears the standard khaki-pants-blue-blazer ,,,,,,,,
"    combo, with no nametag. He's clearly too old for the class ",,,,,,,,
    of 1984.,,,,,,,,
,,,,,,,,
    INT. HALLWAY - LATER,,,,,,,,
,,,,,,,,
    Martin and Debi come out of the Nurse's Office. The post-,,,,,,,,
"    coital mood is broken as they hear The Human League's ""Don't ",,,,,,,,
"    You Want Me, Baby?""  blasting from the gym. Martin and Debi ",,,,,,,,
"    tune in on the song for a moment, unhappy at remembering ",,,,,,,,
    that particular moment in pop music history. Debi looks to ,,,,,,,,
"    Martin, something must be done about it.",,,,,,,,
,,,,,,,,
                  DEBI,,,,,,,,
        I'll be right back....,,,,,,,,
,,,,,,,,
"    Debi kisses him. They split up. Martin walks off, the happiest ",,,,,,,,
    we've seen him....,,,,,,,,
,,,,,,,,
    INT. SCHOOL HALLWAY,,,,,,,,
,,,,,,,,
    Bob and several others from the muscle-to-fat crew play a ,,,,,,,,
    drunken scrimmage with a papier-mache table ornament footbal ,,,,,,,,
    that is coming unwound. Bob quarterbacks and begins to recite ,,,,,,,,
"    a long, complicated, and forgotten play. Martin approaches ",,,,,,,,
"    from behind Bob and glides through the ad-hoc line-up, ",,,,,,,,
"    continuing down the hall. Bob yells ""hike"" as he stares after ",,,,,,,,
"    Martin, distracted. Bob's rushed upon and sacked. He lets ",,,,,,,,
    the papier-mache ball drop and crack on the floor.,,,,,,,,
,,,,,,,,
    INT. SCHOOL HALLWAY - LATER,,,,,,,,
,,,,,,,,
"    Martin walks down a silent, deserted hall of lockers and ",,,,,,,,
    classroom doors. The only sounds are his footsteps and the ,,,,,,,,
"    echoed strains of Iggy Pop's ""Wild Child"" from the distant ",,,,,,,,
    gym. He stops at locker number 1963 and flips the dial: Right-,,,,,,,,
    back left-right again. It opens. He pops up the steel false ,,,,,,,,
"    ceiling in the empty locker, fishes his hand in the opening, ",,,,,,,,
    and withdraws what he is looking for: an ancient joint. He ,,,,,,,,
    holds it up and examines the now brown and dried reefer. He ,,,,,,,,
    grinds it into dust in his hand.,,,,,,,,
,,,,,,,,
    INT. HALLWAY,,,,,,,,
,,,,,,,,
"    Debi comes out of the gym and starts down the hall, the music ",,,,,,,,
    changed for the better.,,,,,,,,
,,,,,,,,
    INT. HALLWAY - SAME,,,,,,,,
,,,,,,,,
    Martin senses he is not alone. He turns to find Bob ,,,,,,,,
    Destephano. The big man holds a glass unsteadily and slurs ,,,,,,,,
    slightly when he speaks. Bob is looking sad and scary. He ,,,,,,,,
    leans into Martin,,,,,,,,
,,,,,,,,
                  BOB,,,,,,,,
        So. You and Debi. Gonna hit that ,,,,,,,,
        shit again?,,,,,,,,
,,,,,,,,
                  MARTIN,,,,,,,,
"        Fine, Bob. How are you?",,,,,,,,
,,,,,,,,
                  BOB,,,,,,,,
        Never better.,,,,,,,,
,,,,,,,,
                  MARTIN,,,,,,,,
        Really?,,,,,,,,
,,,,,,,,
    Bob crumbles.,,,,,,,,
,,,,,,,,
                  BOB,,,,,,,,
        Ahhh... it's all fucked up. Nothing ,,,,,,,,
        adds up to nothing... you work your ,,,,,,,,
"        whole life, day in and day out-- try ",,,,,,,,
        to make sense of it all. One day ,,,,,,,,
        you're twenty-seven and what do you ,,,,,,,,
        get to show for it...,,,,,,,,
,,,,,,,,
                  MARTIN,,,,,,,,
"        You could've been a contender, huh?",,,,,,,,
,,,,,,,,
    Bob realizes he can't even express his own tragedy without ,,,,,,,,
    the use of cliches.,,,,,,,,
,,,,,,,,
                  BOB,,,,,,,,
        Smart boy. Real smart. Let's see how ,,,,,,,,
        smart you are with my foot up your ,,,,,,,,
        ass! I'm gonna kick your ass!,,,,,,,,
,,,,,,,,
    Martin steps to Bob.,,,,,,,,
,,,,,,,,
                  MARTIN,,,,,,,,
"        Why would you want to hit me, Bob? ",,,,,,,,
        Do you really believe that there's ,,,,,,,,
        some stored up conflict that needs ,,,,,,,,
        resolution between us? We don't exist. ,,,,,,,,
        There's nothing between us. So who ,,,,,,,,
"        do you want to hit, Bob? It's not ",,,,,,,,
        me.,,,,,,,,
,,,,,,,,
"    Bob slumps against the lockers, deflated.",,,,,,,,
,,,,,,,,
                  BOB,,,,,,,,
        What am I gonna do?,,,,,,,,
,,,,,,,,
                  MARTIN,,,,,,,,
        What do you want to do?,,,,,,,,
,,,,,,,,
