,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
                         ,,,,,,,,
                          DISSOLVE TO:,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
"          EXT. ALLEY, CHOP SHOP",,,,,,,,
                         ,,,,,,,,
          Elektra enters. She's slowly surrounded by rough-looking,,,,,,,,
          Mexicans.,,,,,,,,
           RNewman / Endeavor Draft 72.,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
                          ELEKTRA,,,,,,,,
           My friend and I need a little help.,,,,,,,,
                         ,,,,,,,,
          They see Machete behind her.,,,,,,,,
                         ,,,,,,,,
                          MAN,,,,,,,,
           It's him.,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
          MONTAGE: CHOP SHOP ROCK,,,,,,,,
                         ,,,,,,,,
"          Machete sharpens blades, makes all kinds of razor-sharp metal",,,,,,,,
"          weaponry in the chop shop, using all kinds of scrap metal.",,,,,,,,
                         ,,,,,,,,
          Machete lays down sketches and blueprints. The men and,,,,,,,,
          Machete build out a tricked-out arsenal on tricked-out,,,,,,,,
"          vehicles, like something out of a south of the border Road",,,,,,,,
          Warrior.,,,,,,,,
                         ,,,,,,,,
          Machete sharpens his blade as sparks fly.,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
"          EXT. ALLEY, CHOP SHOP",,,,,,,,
                         ,,,,,,,,
"          Sniper cruises by, hunting for Machete.",,,,,,,,
                         ,,,,,,,,
          The chop shop boys spot Sniper snooping. They bring out a,,,,,,,,
          huge blowtorch and carve up his hood.,,,,,,,,
                         ,,,,,,,,
                          SNIPER,,,,,,,,
           You punk kids! That's it!,,,,,,,,
                         ,,,,,,,,
"          Sniper climbs out of his car, gun in hand.",,,,,,,,
                         ,,,,,,,,
          A steak KNIFE flies in from off screen and skewers his wrist.,,,,,,,,
                         ,,,,,,,,
"          He stumbles back gushing blood,and sees...",,,,,,,,
                         ,,,,,,,,
"          Luz; alive and well, a red eye patch on. She's wrapped in",,,,,,,,
          white bandages crossing and covering her chest and her arm.,,,,,,,,
                         ,,,,,,,,
"          She's a mess but a beautiful one, like a female road warrior.",,,,,,,,
                         ,,,,,,,,
          Band aids on her forehead. The white bandages cover her dark,,,,,,,,
          skin.,,,,,,,,
                         ,,,,,,,,
                          LUZ,,,,,,,,
"           Cabron, I told you it wouldn't end",,,,,,,,
           pretty.,,,,,,,,
           (to the guys),,,,,,,,
           Bring him inside.,,,,,,,,
                         ,,,,,,,,
          They drag Sniper out of the car and into the chop shop.,,,,,,,,
           RNewman / Endeavor Draft 73.,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
                          SNIPER,,,,,,,,
"           You, I got you, what...",,,,,,,,
                         ,,,,,,,,
                          LUZ,,,,,,,,
"           It pays to have friends, Pendejo.",,,,,,,,
           They got your ass when you need it.,,,,,,,,
                         ,,,,,,,,
          FLASHBACK - INT. TACO TRUCK,,,,,,,,
                         ,,,,,,,,
          Back to the moment Luz has passed out in the truck.,,,,,,,,
                         ,,,,,,,,
          Pancho barks; BITES Luz on the ASS and pulls her out of the,,,,,,,,
          Taco Truck seconds before it explodes.,,,,,,,,
                         ,,,,,,,,
                          CUT TO:,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
          INT. CHOP SHOP,,,,,,,,
                         ,,,,,,,,
          Sniper struggles as they drag him toward a circular saw.,,,,,,,,
                         ,,,,,,,,
                          SNIPER,,,,,,,,
           No! No!,,,,,,,,
                         ,,,,,,,,
                          MACHETE,,,,,,,,
           Looking for someone?,,,,,,,,
                         ,,,,,,,,
                          SNIPER,,,,,,,,
           Oh my God... Please... No. Please!,,,,,,,,
           NO!!!,,,,,,,,
                         ,,,,,,,,
          They bring Sniper up to the saw and grind away at him.,,,,,,,,
                         ,,,,,,,,
          Luz and Pancho look on.,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
          EXT. COUNTRY CLUB HOSPITAL - DAY,,,,,,,,
                         ,,,,,,,,
          News crews gather outside.,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
          INT. HOSPITAL HALLWAY,,,,,,,,
                         ,,,,,,,,
"          Booth walks towards McLaughlin's room, cellphone in hand,",,,,,,,,
"          trying to reach Sniper. Only gets a gurgling, buzzing sound.",,,,,,,,
                         ,,,,,,,,
                          BENZ,,,,,,,,
           Goddamn A T & T.,,,,,,,,
           RNewman / Endeavor Draft 74.,,,,,,,,
                         ,,,,,,,,
                         ,,,,,,,,
          INT. MCLAUGHLIN'S HOSPITAL ROOM,,,,,,,,
                         ,,,,,,,,
          Booth enters McLaughlin's hospital room. McLaughlin is,,,,,,,,
          dressed in a suit and a girl is brushing his hair while,,,,,,,,
          another brightens his cheeks with a little makeup.,,,,,,,,
                         ,,,,,,,,
                          MCLAUGHLIN,,,,,,,,
           Where the fuck have you been?,,,,,,,,
                         ,,,,,,,,
                          BENZ,,,,,,,,
           Taking care of business.,,,,,,,,
                         ,,,,,,,,
                          MCLAUGHLIN,,,,,,,,
           My business is here. Did you see,,,,,,,,
