,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
,,,,,,,,
COCCOTTI,,,,,,,,
Now I can't be sure of how much of what he told you. So in the chance ,,,,,,,,
"you're in the dark about some of this, let me shed some light. That whore ",,,,,,,,
"your boy hangs around with, her pimp is an associate of mine, and I don't ",,,,,,,,
"just mean pimpin', in other affairs he works for me in a courier capacity. ",,,,,,,,
"Well, apparently, that dirty little whore found out when we're gonna do ",,,,,,,,
"some business, 'cause your son, the cowboy and his flame, came in the room ",,,,,,,,
blastin' and didn't stop till they were pretty sure everybody was dead.,,,,,,,,
,,,,,,,,
CLIFF,,,,,,,,
What are you talkin' about?,,,,,,,,
,,,,,,,,
COCCOTTI,,,,,,,,
I'm talkin' about a massacre. They snatched my narcotics and hightailed it ,,,,,,,,
"outta there. Wouldda gotten away with it, but your son, fuckhead that he ",,,,,,,,
"is, left his driver's license in a dead guy's hand. A whore hiding in the ",,,,,,,,
commode filled in all the blanks.,,,,,,,,
,,,,,,,,
CLIFF,,,,,,,,
I don't believe you.,,,,,,,,
,,,,,,,,
COCCOTTI,,,,,,,,
That's of minor importance. But what's of major fuckin' importance is that ,,,,,,,,
I believe you. Where did they go?,,,,,,,,
,,,,,,,,
CLIFF,,,,,,,,
On their honeymoon.,,,,,,,,
,,,,,,,,
COCCOTTI,,,,,,,,
I'm gettin' angry askin' the same question a second time. Where did they ,,,,,,,,
go?,,,,,,,,
,,,,,,,,
CLIFF,,,,,,,,
They didn't tell me.,,,,,,,,
,,,,,,,,
Coccotti looks at him.,,,,,,,,
,,,,,,,,
CLIFF,,,,,,,,
"Now, wait a minute and listen. I haven't seen Clarence in three years. ",,,,,,,,
"Yesterday he shows up here with a girl, sayin' he got married. He told me ",,,,,,,,
"he needed some quick cash for a honeymoon, so he asked if he could borrow ",,,,,,,,
five hundred dollars. I wanted to help him out so I wrote out a check. We ,,,,,,,,
went to breakfast and that's the last I saw of him. So help me God. They ,,,,,,,,
never thought to tell me where they were goin'. And I never thought to ask.,,,,,,,,
,,,,,,,,
"Coccotti looks at him for a long moment. He then gives Virgil a look. Virgil, quick as greased lightning, grabs Cliff's hand and turns it palm up. He then whips out a butterfly knife and slices Cliff's palm open and pours Chivas Regal on the wound. Cliff screams.",,,,,,,,
,,,,,,,,
Coccotti puffs on a Chesterfield.,,,,,,,,
,,,,,,,,
"Tooth-pic Vic returns to the trailer, and reports in Italian that there's nothing in the car.",,,,,,,,
,,,,,,,,
Virgil walks into the kitchen and gets a dishtowel. Cliff holds his bleeding palm in agony. Virgil hands him the dishtowel. Cliff uses it to wrap up his hand.,,,,,,,,
,,,,,,,,
COCCOTTI,,,,,,,,
Sicilians are great liars. The best in the world. I'm a Sicilian. And my ,,,,,,,,
old man was the world heavyweight champion of Sicilian liars. And from ,,,,,,,,
growin' up with him I learned the pantomime. Now there are seventeen ,,,,,,,,
different things a guy can do when he lies to give him away. A guy has ,,,,,,,,
"seventeen pantomimes. A woman's got twenty, but a guy's got seventeen. And ",,,,,,,,
"if you know 'em like ya know your own face, they beat lie detectors to ",,,,,,,,
hell. What we got here is a little game of show and tell. You don't wanna ,,,,,,,,
show me nothin'. But you're tellin' me everything. Now I know you know ,,,,,,,,
"where they are. So tell me, before I do some damage you won't walk away ",,,,,,,,
from.,,,,,,,,
,,,,,,,,
The awful pain in Cliff's hand is being replaced by the awful pain in his heart. He looks deep into Coccotti's eyes. ,,,,,,,,
,,,,,,,,
CLIFF,,,,,,,,
Could I have one of those Chesterfields now?,,,,,,,,
,,,,,,,,
COCCOTTI,,,,,,,,
Sure.,,,,,,,,
,,,,,,,,
Coccotti leans over and hands him a smoke.,,,,,,,,
,,,,,,,,
CLIFF,,,,,,,,
Got a match?,,,,,,,,
,,,,,,,,
Cliff reaches into his pocket and pulls out a lighter.,,,,,,,,
,,,,,,,,
CLIFF,,,,,,,,
"Oh, don't bother. I got one.",,,,,,,,
(he lights the cigarette),,,,,,,,
"So you're a Sicilian, huh?",,,,,,,,
,,,,,,,,
COCCOTTI,,,,,,,,
(intensly),,,,,,,,
Uh-huh.,,,,,,,,
,,,,,,,,
CLIFF,,,,,,,,
You know I read a lot. Especially things that have to do with history. I ,,,,,,,,
"find that shit fascinating. In fact, I don't know if you know this or not, ",,,,,,,,
Sicilians were spawned by niggers.,,,,,,,,
,,,,,,,,
"All the men stop what they were doing and look at Cliff, except for Tooth-pic Vic who doesn't speak English and so isn't insulted. Coccotti can't believe what he's hearing.",,,,,,,,
,,,,,,,,
COCCOTTI,,,,,,,,
Come again?,,,,,,,,
,,,,,,,,
CLIFF,,,,,,,,
It's a fact. Sicilians have nigger blood pumpin' through their hearts. If ,,,,,,,,
"you don't believe me, look it up. You see, hundreds and hundreds of years ",,,,,,,,
"ago the Moors conquered Sicily. And Moors are niggers. Way back then, ",,,,,,,,
"Sicilians were like the wops in northern Italy. Blond hair, blue eyes. But, ",,,,,,,,
"once the Moors moved in there, they changed the whole country. They did so ",,,,,,,,
