,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
,,,,,,,,
                                  KIRK,,,,,,,,
                    Viewer on.,,,,,,,,
,,,,,,,,
"          At his VOICE COMMAND, the viewer comes on with AN IMAGE",,,,,,,,
          of Uhura at her console.,,,,,,,,
,,,,,,,,
                                  UHURA FROM VIEWER,,,,,,,,
                    Signal from a Federation-registered,,,,,,,,
"                    long-range shuttle, sir. She",,,,,,,,
"                    wishes to come alongside, and",,,,,,,,
                    lock on.,,,,,,,,
,,,,,,,,
                                  KIRK,,,,,,,,
                    For what purpose?,,,,,,,,
,,,,,,,,
"          On the viewer, Chekov's IMAGE replaces Uhura.",,,,,,,,
,,,,,,,,
                                  CHEKOV,,,,,,,,
"                    It is a courier, Captain. Grade",,,,,,,,
                    One priority. Non-belligerency,,,,,,,,
                    confirmed.,,,,,,,,
,,,,,,,,
                                  KIRK,,,,,,,,
"                    Very well, Mr. Chekov, see to it.",,,,,,,,
                    Viewer off.,,,,,,,,
,,,,,,,,
          Viewer IMAGE FADES. Kirk turns back to McCoy whose,,,,,,,,
          question of Kirk's fitness still hangs there between,,,,,,,,
"          them. Eye to eye - then, finally:",,,,,,,,
,,,,,,,,
                                  KIRK,,,,,,,,
                            (continuing),,,,,,,,
"                    Your... opinion has been noted,",,,,,,,,
                    Doctor.,,,,,,,,
                            (beat),,,,,,,,
                    Is there anything further?,,,,,,,,
,,,,,,,,
                                  McCOY,,,,,,,,
                    I hope not.,,,,,,,,
,,,,,,,,
"          Kirk nods, exits. McCoy watches him go, hoping his",,,,,,,,
          point has gotten through.,,,,,,,,
,,,,,,,,
    145   OMITTED                                                    145,,,,,,,,
,,,,,,,,
    146   EXT. SPACE - THE SHUTTLE (S)                               146,,,,,,,,
,,,,,,,,
          traveling at a rapid speed; it carries warp-capacity,,,,,,,,
          nacelles which dwarf the smaller  to 10 position,,,,,,,,
          shuttle fuselage. The CAMERA HOLD ON THE SHUTTLE,,,,,,,,
"          as it overtakes the Enterprise, the ENTERPRISE COM-",,,,,,,,
"          ING INTO VIEW, and the shuttle slowing and beginning",,,,,,,,
          to move between the starship's giant nacelles.,,,,,,,,
,,,,,,,,
    147   EXT. SPACE - THROUGH WINDOW IN OFFICERS' LOUNGE -          147,,,,,,,,
          THE ENTERPRISE AND THE SHUTTLE (S),,,,,,,,
,,,,,,,,
          About the size of a fighter airplane floating in over,,,,,,,,
          the vastness of an aircraft carrier. The shuttle,,,,,,,,
"          slows further, hovering now. Then its fuselage pod",,,,,,,,
          detaches from the warp drive nacelles -- the pod,,,,,,,,
          moving slowly but precisely toward the starship's,,,,,,,,
          command airlock.,,,,,,,,
,,,,,,,,
    148   INT. POD HATCH ENTRY AREA                                  148,,,,,,,,
,,,,,,,,
          as we HEAR the CLANK and WHOOSH of the AIRLOCK MECHAN-,,,,,,,,
          ISM. Chekov is standing by  with a security man.,,,,,,,,
,,,,,,,,
          A moment later the hatch slips open - TO REVEAL,,,,,,,,
"          Spock. A proud Spock, impassively Vulcan, almost",,,,,,,,
          contemptuously aloof. His hair is now trimmed in,,,,,,,,
"          neat Vulcan style; he wears Vulcan attire simple,",,,,,,,,
"          civilian, utilitarian.)",,,,,,,,
,,,,,,,,
                                  SPOCK,,,,,,,,
"                    Permission to come aboard, sir?",,,,,,,,
,,,,,,,,
                                  CHEKOV,,,,,,,,
"                    Granted, sir! Granted!",,,,,,,,
,,,,,,,,
"          Spock is already moving out of the pod entry area, im-",,,,,,,,
"          passive, no greeting on his lips; no friendship in his",,,,,,,,
          expression.,,,,,,,,
,,,,,,,,
    149   EXT. SPACE - THE SHUTTLE LEAVING                           149,,,,,,,,
,,,,,,,,
          pulling away from Enterprise.,,,,,,,,
,,,,,,,,
    150   INT. BRIDGE                                                150,,,,,,,,
,,,,,,,,
"          The elevator doors open, and there is Spock. It takes",,,,,,,,
"          everyone a moment to believe their eyes. Then, the",,,,,,,,
          Bridge crew AD LIB their surprise and pleasure.,,,,,,,,
,,,,,,,,
                                  KIRK,,,,,,,,
"                    Spock...! Spock, where...how...?",,,,,,,,
,,,,,,,,
"          Kirk, smiling, is moving toward Spock with hand out-",,,,,,,,
          stretched. But Spock has already turned and moved,,,,,,,,
          toward the science console where Decker sits.,,,,,,,,
,,,,,,,,
                                  SPOCK,,,,,,,,
"                    Commander, if I may...?",,,,,,,,
,,,,,,,,
    150A  AT SCIENCE CONSOLE                                        150A,,,,,,,,
,,,,,,,,
          It takes Decker a moment to realize that Spock wants,,,,,,,,
          to take over the console. He begins getting to his,,,,,,,,
"          feet, throwing Kirk a look. But Kirk's attention is",,,,,,,,
          totally on SPOCK. And Spock is already intent on com-,,,,,,,,
          putations he is beginning to punch into the science,,,,,,,,
          console computer.,,,,,,,,
,,,,,,,,
                                  SPOCK,,,,,,,,
                    I have been monitoring your,,,,,,,,
"                    Starfleet transmissions, Captain,",,,,,,,,
                    your engine design difficulties.,,,,,,,,
,,,,,,,,
          Spock continues to punch information into the science,,,,,,,,
