,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
,,,,,,,,
               He stands up shakily. The Old Man gives Pete a hand.,,,,,,,,
,,,,,,,,
                                     OLD MAN,,,,,,,,
"                         Come on, we'll have the Doc look you ",,,,,,,,
                         over.,,,,,,,,
,,,,,,,,
                                     PETE,,,,,,,,
                         My head hurts.,,,,,,,,
,,,,,,,,
                                     OLD MAN,,,,,,,,
                         I shouldn't be surprises. You smell ,,,,,,,,
                         like that was quite a night before ,,,,,,,,
                         you had there.,,,,,,,,
                              (to the dog),,,,,,,,
                         Maggie! Let's go now!,,,,,,,,
,,,,,,,,
"               And they head toward the road to town. BOOMING UP, we SEE ",,,,,,,,
               them pass a roadside sign:,,,,,,,,
,,,,,,,,
               ON THE SIGN:,,,,,,,,
,,,,,,,,
                                        WELCOME TO,,,,,,,,
"                                    LAWSON, CALIFORNIA",,,,,,,,
                                        EST. 1869,,,,,,,,
                                   ELEV. 275  POP. 1755,,,,,,,,
                                         THE TOWN,,,,,,,,
                                    THAT GAVE ITS ALL,,,,,,,,
,,,,,,,,
                                     OLD MAN (STANTON),,,,,,,,
                         Name's Stanton Lawson. My ancestors ,,,,,,,,
                         founded this town.,,,,,,,,
,,,,,,,,
                                     PETE,,,,,,,,
                         Ancestors?,,,,,,,,
,,,,,,,,
                                     STANTON,,,,,,,,
"                         Actually, my grandpap. But ""ancestors"" ",,,,,,,,
"                         sounds better, don't it?",,,,,,,,
                              (hands Pete a ,,,,,,,,
                              handkerchief),,,,,,,,
                         Here.,,,,,,,,
,,,,,,,,
               Pete takes the handkerchief and wipes the mud and some of ,,,,,,,,
               the blood off his face.,,,,,,,,
,,,,,,,,
                                     PETE,,,,,,,,
                         I suppose. Thanks.,,,,,,,,
,,,,,,,,
                                     STANTON,,,,,,,,
"                         You look familiar, fella. What's ",,,,,,,,
                         your name?,,,,,,,,
,,,,,,,,
"               Pete stops, thinks for a moment.",,,,,,,,
,,,,,,,,
                                     PETE,,,,,,,,
                         I'm... I... I honestly don't know.,,,,,,,,
,,,,,,,,
                                                                    CUT TO:,,,,,,,,
,,,,,,,,
"               EXT. COMMERCE STREET - LAWSON, CALIFORNIA - DAY",,,,,,,,
,,,,,,,,
"               Pete and Stanton walk along Commerce Street, the main drag ",,,,,,,,
               through the center of the small town. Lawson is a bit run ,,,,,,,,
"               down, creeping inexorably toward decrepit. Despite that, ",,,,,,,,
"               there's a timeless quality to the small buildings, a familiar ",,,,,,,,
               All-American feel.,,,,,,,,
,,,,,,,,
               Several of the PEOPLE walking along the street take notice ,,,,,,,,
"               of Pete and nod to Stanton, who nods back.",,,,,,,,
,,,,,,,,
                                     PETE,,,,,,,,
                         They all know you?,,,,,,,,
,,,,,,,,
                                     STANTON,,,,,,,,
                         'Course they all know me. And I know ,,,,,,,,
"                         all them. Town's got my name, don't ",,,,,,,,
                         it?,,,,,,,,
,,,,,,,,
"               They pass the window of the drug store, COLE'S PHARMACY.",,,,,,,,
,,,,,,,,
               PETE LOOKS DOWN AND SEES,,,,,,,,
,,,,,,,,
               TWO FADED GOLD STARS,,,,,,,,
,,,,,,,,
"               in the window with two faded photos, all decked in tattered ",,,,,,,,
"               black crepe. Two boys, no more than 18 and 19, who went off ",,,,,,,,
               to war and didn't come back.,,,,,,,,
,,,,,,,,
               Stanton notes Pete stopping to look at the stars and photos.,,,,,,,,
,,,,,,,,
                                     STANTON,,,,,,,,
                         Ernie Cole here just got himself ,,,,,,,,
                         elected mayor. Lost both his boys in ,,,,,,,,
                         the war. Kenny at Anzio and Willie ,,,,,,,,
                         at Normandy.,,,,,,,,
,,,,,,,,
                                     PETE,,,,,,,,
                              (thinking),,,,,,,,
                         The war...,,,,,,,,
,,,,,,,,
                                     STANTON,,,,,,,,
                              (points across the ,,,,,,,,
                              street),,,,,,,,
                         Mabel over there at the diner lost ,,,,,,,,
"                         her husband Max. Okinawa, I believe.",,,,,,,,
,,,,,,,,
               ANGLE - MABEL'S DINER,,,,,,,,
,,,,,,,,
               A typical small-town greasy spoon -- with one faded star ,,,,,,,,
               prominent in the window.,,,,,,,,
,,,,,,,,
               CLOSER,,,,,,,,
,,,,,,,,
"               On MABEL LANIER, a sweet-faced woman in her 30s. She stares ",,,,,,,,
"               vacantly into space, her reverie broken by a customer needing ",,,,,,,,
               a coffee refill.,,,,,,,,
,,,,,,,,
                                     STANTON,,,,,,,,
"                         All told, this little town gave sixty-",,,,,,,,
                         two of its finest to the war. ,,,,,,,,
                         Seventeen of 'em at Normandy alone. ,,,,,,,,
"                         More'n its share, I should say. Got ",,,,,,,,
                         us a letter from President Truman. ,,,,,,,,
                         City council commissioned a war ,,,,,,,,
                         memorial. Been sittin' in the basement ,,,,,,,,
                         of city hall these six years. Town ,,,,,,,,
                         never had the heart to put it up. ,,,,,,,,
                         Place just hasn't been the same since ,,,,,,,,
                         the war.,,,,,,,,
,,,,,,,,
               STANTON AND PETE,,,,,,,,
,,,,,,,,
               Pete looks longingly toward the diner. Stanton takes note.,,,,,,,,
,,,,,,,,
