,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
     all screaming hysterically and heading for the exits.,,,,,,,,
"     The beautiful young singer, who'd been coming up the",,,,,,,,
"     stairs alone, is now swept back down them.",,,,,,,,
,,,,,,,,
"     Gordon, still in character, pushes his way upstream to the",,,,,,,,
     room where the scientist is held.,,,,,,,,
,,,,,,,,
,,,,,,,,
28   INT. FAT-CAN'S - ADJACENT ROOM - NIGHT                        28,,,,,,,,
,,,,,,,,
"     Hudson, his back turned, barking orders at his henchmen.",,,,,,,,
,,,,,,,,
                                HUDSON,,,,,,,,
                  Get Escobar out of here!,,,,,,,,
,,,,,,,,
"     The henchmen heft the wriggling sack, when:",,,,,,,,
,,,,,,,,
                                GORDON (O.S.),,,,,,,,
                  Leave him right there.,,,,,,,,
,,,,,,,,
                                                    (CONTINUED),,,,,,,,
,,,,,,,,
                                                             15.,,,,,,,,
,,,,,,,,
28   CONTINUED:                                                    28,,,,,,,,
,,,,,,,,
     Hudson whirls to see the gruff-talking Gordon/Dora holding,,,,,,,,
     the perfume bottle on him like it's a Colt 45. Now Gordon,,,,,,,,
"     shakes one of the heavy bracelets off his wrist, CLICKS a",,,,,,,,
"     LOCK, snapping it open. He's accessorized with custom",,,,,,,,
     handcuffs.,,,,,,,,
,,,,,,,,
                                GORDON,,,,,,,,
"                  Let's go, Hudson... hands!",,,,,,,,
,,,,,,,,
"     Hudson gives a sick little smile, reaches for his gun",,,,,,,,
     when... WSSSSHT!,,,,,,,,
,,,,,,,,
     Gordon sprays him in the eyes with the second bulb of the,,,,,,,,
"     atomizer. (The first Mace!) Hudson howls in pain, drops",,,,,,,,
"     the gun, rubs his eyes madly with both hands.",,,,,,,,
,,,,,,,,
                                  GORDON,,,,,,,,
                  Thank... you.,,,,,,,,
,,,,,,,,
     Gordon starts to snap the cuffs on the perfectly,,,,,,,,
     presented wrists when...,,,,,,,,
,,,,,,,,
,,,,,,,,
29   FAT-CAN'S - UPSTAIRS HALL - WEST - NIGHT                           29,,,,,,,,
,,,,,,,,
     brawling a dozen attackers. West spots McGrath trying to,,,,,,,,
"     escape down the stairs. He uncorks a lethal kick, sending",,,,,,,,
     a thug flying through the doorway and into the back of,,,,,,,,
     Gordon.,,,,,,,,
,,,,,,,,
"     Gordon staggers, drops the perfume/mace BOTTLE which",,,,,,,,
     SHATTERS. Hudson recovers his vision enough to send a,,,,,,,,
"     fist into Gordon's mascaraed face, pile-driving him back",,,,,,,,
     into the hall. While Hudson and his men make their,,,,,,,,
     escape down the back stairs with the scientist sack...,,,,,,,,
,,,,,,,,
,,,,,,,,
     CLOSE - WEST AND GORDON,,,,,,,,
,,,,,,,,
"     West is blocked from chasing McGrath, Gordon from going",,,,,,,,
     after Hudson. West tries to push her aside.,,,,,,,,
,,,,,,,,
                                WEST,,,,,,,,
                  U.S. Army... Now get outta my,,,,,,,,
"                  way, lady!",,,,,,,,
,,,,,,,,
                                 GORDON,,,,,,,,
                         (the baritone,,,,,,,,
                          growl),,,,,,,,
                  I'm no lady! I'm a U.S. Marshal!,,,,,,,,
                  You get out of my way!,,,,,,,,
,,,,,,,,
"     Gordon whip off his wig, reaches inside it for something.",,,,,,,,
"     West blinks at the weirdness, reflexively draws his Colt.",,,,,,,,
"     As Gordon withdraws not a gun, but a badge, from his",,,,,,,,
     wig...,,,,,,,,
,,,,,,,,
                                                            16.,,,,,,,,
,,,,,,,,
30   EXT. RISE ABOVE FAT CAN'S - CARRIAGE - NIGHT (SAME TIME)     30,,,,,,,,
,,,,,,,,
     is waiting at the top of the hill beside the nitro wagon.,,,,,,,,
"     Dr. Loveless is beside it, face still shadowed.",,,,,,,,
,,,,,,,,
,,,,,,,,
     INSIDE CARRIAGE - FAIR-SKINNED BEAUTY,,,,,,,,
,,,,,,,,
     has opera glasses trained on the second story of Fat-,,,,,,,,
     Can's. Her name is LIPPENREIDER. And now we'll see why.,,,,,,,,
,,,,,,,,
                             LIPPENREIDER,,,,,,,,
                      (in a monotone),,,,,,,,
               Get out of my way... get out of my,,,,,,,,
               way... U.S. Army... U.S. Marshal.,,,,,,,,
,,,,,,,,
                             LOVELESS,,,,,,,,
"               Oh, dear...",,,,,,,,
,,,,,,,,
     The lip-reading is interrupted by the arrival of...,,,,,,,,
,,,,,,,,
,,,,,,,,
     ANGLE - TOP OF INCLINE - HUDSON AND HIS HENCHMEN,,,,,,,,
,,,,,,,,
     who come racing up with the scientist-in-the-sack.,,,,,,,,
,,,,,,,,
                             HUDSON,,,,,,,,
"               Federal agents inside, sir!",,,,,,,,
,,,,,,,,
                              LOVELESS,,,,,,,,
               So Miss Lippenreider informs me.,,,,,,,,
                      (sighs),,,,,,,,
"               Still, I believe good manners",,,,,,,,
               dictate we should send out...,,,,,,,,
,,,,,,,,
     His cane telescopes out and Loveless pokes the lynch pin,,,,,,,,
     out of the harness on the nitro wagon. Then he gives the,,,,,,,,
     wagon the slightest push.,,,,,,,,
,,,,,,,,
                             LOVELESS,,,,,,,,
               ... the welcome wagon.,,,,,,,,
,,,,,,,,
"     Once started, the wagon rolls downhill, toward the back",,,,,,,,
"     door of Fat-Can Candy's, picking up speed...",,,,,,,,
,,,,,,,,
"     Then, as his female coterie pulls the burlap sack into",,,,,,,,
"     the carriage, Loveless steps in behind. And they're off.",,,,,,,,
,,,,,,,,
,,,,,,,,
31   INT. FAT CAN'S - UPSTAIRS HALL - NIGHT                       31,,,,,,,,
,,,,,,,,
"     West and Gordon, oblivious to the impending disaster...",,,,,,,,
,,,,,,,,
                             WEST,,,,,,,,
               So now what...?,,,,,,,,
,,,,,,,,
                                                    (CONTINUED),,,,,,,,
,,,,,,,,
                                                                17.,,,,,,,,
,,,,,,,,
31   CONTINUED:                                                       31,,,,,,,,
,,,,,,,,
     The answer is provided as the NITRO WAGON hits,,,,,,,,
     downstairs.,,,,,,,,
,,,,,,,,
     KABOOOOOOM!!!    THEME MUSIC UP... as we roll...,,,,,,,,
,,,,,,,,
,,,,,,,,
32   MAIN TITLES                                                      32,,,,,,,,
,,,,,,,,
     The titles are the familiar animated freeze frames from,,,,,,,,
     the TV show. In the two corners are our heroes -- Upper,,,,,,,,
     left shows West with his gun levelled toward... upper,,,,,,,,
     right -- Gordon with his wig in one hand and his badge in,,,,,,,,
"     the other, pointed across toward West.",,,,,,,,
,,,,,,,,
     The cowboy/agent in the middle square fights and defeats,,,,,,,,
"     the various bad guys. Then as he exits, QUICK ZOOM ON",,,,,,,,
"     main title: ""THE WILD WILD WEST.""",,,,,,,,
,,,,,,,,
     PAN DOWN TO a sketch of a train caboose as TITLES END...,,,,,,,,
,,,,,,,,
,,,,,,,,
"33   EXT. WASHINGTON, D.C. - DAY (1869)                               33",,,,,,,,
,,,,,,,,
     West rides his magnificent black stallion down,,,,,,,,
     Pennsylvania Avenue.,,,,,,,,
,,,,,,,,
"     Besides horse-drawn carriages, West shares the dusty road",,,,,,,,
     with people on bicycles -- the latest craze. He finally,,,,,,,,
     pulls his steed up at his destination...,,,,,,,,
,,,,,,,,
,,,,,,,,
     EXT. WHITE HOUSE - DAY,,,,,,,,
,,,,,,,,
"     West dismounts, ties his horse to a hitching post and",,,,,,,,
     winces as he puts his weight on a sore leg.,,,,,,,,
,,,,,,,,
,,,,,,,,
34   INT. WHITE HOUSE - DAY                                           34,,,,,,,,
,,,,,,,,
     West limps past black floor scrubbers. They stop working,,,,,,,,
     to marvel at this handsome black man dressed in custom,,,,,,,,
     cowboy duds walking in there like he owns the place.,,,,,,,,
,,,,,,,,
     But not everybody's so impressed. As West heads toward,,,,,,,,
"     the Oval Office, four self-important house detectives",,,,,,,,
     block his way.,,,,,,,,
,,,,,,,,
                                HOUSE DETECTIVE,,,,,,,,
"                  Whoa there, 'pardner.'",,,,,,,,
                         (as West stops),,,,,,,,
                  Winning the war may have got you,,,,,,,,
"                  forty acres and a mule, but you",,,,,,,,
                  can't just traipse into the,,,,,,,,
                  President's office. Now gimme,,,,,,,,
                  that gun.,,,,,,,,
                                                        (CONTINUED),,,,,,,,
,,,,,,,,
                                                               18.,,,,,,,,
,,,,,,,,
34   CONTINUED:                                                      34,,,,,,,,
,,,,,,,,
     He nods at the six gun on West's hip. West coolly flexes,,,,,,,,
"     his hand above it, like he's about to draw...",,,,,,,,
,,,,,,,,
                                 WEST,,,,,,,,
                  This gun?,,,,,,,,
,,,,,,,,
"     Then like lightning, with his other hand, he whips out a",,,,,,,,
     sawed-off shotgun hidden by his jacket. He pokes the,,,,,,,,
     12-gauge barrels up against Pinkerton's surprised crotch.,,,,,,,,
,,,,,,,,
                                 WEST,,,,,,,,
                  Or this one?,,,,,,,,
,,,,,,,,
     A voice stops the situation from escalating further.,,,,,,,,
,,,,,,,,
                                 PRESIDENT GRANT (O.S.),,,,,,,,
                  Gentlemen!,,,,,,,,
,,,,,,,,
     The detective's head swivels around to see...,,,,,,,,
,,,,,,,,
,,,,,,,,
     ANGLE - OVAL OFFICE DOOR - PRESIDENT GRANT,,,,,,,,
,,,,,,,,
     stands in the doorway.,,,,,,,,
,,,,,,,,
                                PRESIDENT GRANT,,,,,,,,
                  Don't make Captain West any later,,,,,,,,
                  for his appointment than he,,,,,,,,
                  already is!,,,,,,,,
,,,,,,,,
     The detectives back away from the hair-trigger cowboy as,,,,,,,,
     fast as they can. West reholsters the gun and,,,,,,,,
     continues...,,,,,,,,
,,,,,,,,
,,,,,,,,
35   INT. WHITE HOUSE - OVAL OFFICE                                  35,,,,,,,,
,,,,,,,,
"     President Grant goes over to his desk, lights a cigar.",,,,,,,,
"     Backlit in the haze, the portly bearded figure lives up",,,,,,,,
     to the myth.,,,,,,,,
,,,,,,,,
                                PRESIDENT GRANT,,,,,,,,
                  Been a lot of death threats lately,,,,,,,,
                  ... Cabinet made me hire some damn,,,,,,,,
                  detectives.,,,,,,,,
                         (by way of apology),,,,,,,,
"                  Drink, cigar?",,,,,,,,
,,,,,,,,
                                WEST,,,,,,,,
"                  Thank you, sir.",,,,,,,,
,,,,,,,,
"     West limps across the room to the bar, pours himself a",,,,,,,,
"     glass of whiskey, takes a cigar out of the humidor.",,,,,,,,
,,,,,,,,
                                                       (CONTINUED),,,,,,,,
,,,,,,,,
                                                               19.,,,,,,,,
,,,,,,,,
35   CONTINUED:                                                      35,,,,,,,,
,,,,,,,,
                                PRESIDENT GRANT,,,,,,,,
                  I hear you let General McGrath,,,,,,,,
                  get away?,,,,,,,,
,,,,,,,,
     Now West's blood is up.,,,,,,,,
,,,,,,,,
                                WEST,,,,,,,,
"                  Sir, I had him right in my hands",,,,,,,,
                  when some half-a-sissy wearin' a,,,,,,,,
                  dress ruined...,,,,,,,,
,,,,,,,,
                                PRESIDENT GRANT,,,,,,,,
                         (cuts him off),,,,,,,,
                  Artemus Gordon.,,,,,,,,
,,,,,,,,
                                WEST,,,,,,,,
                  You... know him?,,,,,,,,
,,,,,,,,
                                 PRESIDENT GRANT,,,,,,,,
"                  Of course I know him, he's the",,,,,,,,
