,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
"          at the men, sinking their jaws into flesh.",,,,,,,,
"           The men are trapped. Some try to flee. Others fight back,",,,,,,,,
          swinging chairs and planks --,,,,,,,,
,,,,,,,,
                         THE SCARECROW,,,,,,,,
"          stalks into their midst, snaring victims left and right,",,,,,,,,
          HURLING bodies or pulling them apart --,,,,,,,,
          He snatches Viscott up by his throat. Bugs swarm over the,,,,,,,,
"          SCREAMING parolee's face as it rots and decays. In seconds,",,,,,,,,
"          Viscott's entire body decomposes, putrefies, falls apart --",,,,,,,,
,,,,,,,,
          RHYMER AND RAIN,,,,,,,,
          back up towards the kitchen. SCREECH! A crow-thing comes,,,,,,,,
          flapping. Rhymer FIRES. The creature SHRIEKS and flops --,,,,,,,,
"          Nunez claws another from his face, SEES it's not a crow at",,,,,,,,
"          all, but some kind of wriggling eyeless monstrosity with a",,,,,,,,
"          deformed razor beak, matted feathers, bony talons --",,,,,,,,
"          Wilson, trapped under a bench, BEATS desperately at a",,,,,,,,
          gnashing coyote. Lands a real blow. The beast falls back,,,,,,,,
          then stands up like a man?,,,,,,,,
,,,,,,,,
                         VARIOUS ANGLES,,,,,,,,
          as the OTHER COYOTES do likewise. The coyotes are changing,,,,,,,,
"          shape, enlarging, canine skeletons CRACKING and re-arranging",,,,,,,,
          themselves into --,,,,,,,,
,,,,,,,,
                         JAW-BEASTS,,,,,,,,
          The same half-glimpsed horrors we glimpsed accompanying,,,,,,,,
"          Starke. All muscle and gnashing fangs and bloody, ripping",,,,,,,,
          claws.,,,,,,,,
,,,,,,,,
                         CUT TO:,,,,,,,,
,,,,,,,,
          EXT. COASTAL HIGHWAY - NIGHT,,,,,,,,
,,,,,,,,
          Blaze rolls the Norton to a stop. Kills the engine. Sits,,,,,,,,
          back in the saddle and drinks in the night.,,,,,,,,
"          The moonlit landscape is profoundly silent, the starry sky",,,,,,,,
          clear and awesome. Nothing stirs.,,,,,,,,
,,,,,,,,
                         (CONTINUED),,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
          105.,,,,,,,,
,,,,,,,,
                         CONTINUED:,,,,,,,,
"          Not a cricket, not a lizard. Just the moonlit expanse of",,,,,,,,
"          ocean below. Then we hear THUNDER, like distant artillery.",,,,,,,,
          Blaze looks back over his shoulder --,,,,,,,,
,,,,,,,,
                         BLAZE'S POV,,,,,,,,
          Distant thunderheads. LIGHTNING flickering.,,,,,,,,
"          CLOSE ON Blaze, trying to drive Rain from his mind. We can",,,,,,,,
"          SEE on his face that it's a losing battle -- for poor, cursed",,,,,,,,
          Johnny Blaze has finally understood his purpose on this earth.,,,,,,,,
,,,,,,,,
                         CUT TO:,,,,,,,,
,,,,,,,,
          INT. MISSION - KITCHEN - NIGHT,,,,,,,,
,,,,,,,,
          Claws and jaws and razor-beaks tearing frenziedly through,,,,,,,,
"          wood and plaster and lathe. Rhymer, Rain, Nunez and Tolbein",,,,,,,,
"          struggle to repel the monsters, beating them back with",,,,,,,,
          whatever is at hand --,,,,,,,,
"          -- but the jaw-beasts and razor birds are winning, forcing",,,,,,,,
          their way into the kitchen --,,,,,,,,
          Nunz is snagged. Slashing claws swarm all over him. The,,,,,,,,
          others try to pull him free --,,,,,,,,
"          Rhymer wastes two more precious SHOTS, but Nunez is lost.",,,,,,,,
          Dragged SCREAMING into the storm of mouths and claws. The,,,,,,,,
          survivors fall back as the door gives and --,,,,,,,,
,,,,,,,,
                         THE SCARECROW,,,,,,,,
"          pitches through the opening, lurching forward. Jaw-beasts",,,,,,,,
          fall in behind him. Razor birds whirl around his head.,,,,,,,,
          The survivors scramble for the far exit. Rain opens every,,,,,,,,
          gas burner on the grill as she passes by -- but the far exit,,,,,,,,
          is locked. And Rhymer doesn't have the key!,,,,,,,,
"          BOOM! Rhymer shotguns the lock! The lock fractures, but the",,,,,,,,
          exit still won't open. Tolbein starts kicking. Rhymer aims,,,,,,,,
,,,,,,,,
                         AGAIN --,,,,,,,,
,,,,,,,,
                         RAIN,,,,,,,,
          (tugging at Rhymer),,,,,,,,
          Shoot the gas!,,,,,,,,
,,,,,,,,
                         RHYMER,,,,,,,,
          What?,,,,,,,,
,,,,,,,,
                         (CONTINUED),,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
          106.,,,,,,,,
,,,,,,,,
                         CONTINUED:,,,,,,,,
,,,,,,,,
                         THE SCARECROW,,,,,,,,
          advances. Bugs swarm from beneath his tattered feet. Every,,,,,,,,
          metal implement and surface rusts as he passes.,,,,,,,,
,,,,,,,,
                         RAIN,,,,,,,,
          (pointing at the grills),,,,,,,,
,,,,,,,,
          SHOOT THE GAS!,,,,,,,,
