,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
,,,,,,,,
	MED. SHOT - PRISONERS - HELMUT'S POV,,,,,,,,
,,,,,,,,
"	A dozen of Helmut's barracks-mates, including Galt, Uhlmann, ",,,,,,,,
"	Adolf, Ludwig, Herman, the Stout Prisoner, several of the ",,,,,,,,
"	New Prisoners, are drifting across the yard towards him, and ",,,,,,,,
	the looks on many faces bode no good for Helmut.,,,,,,,,
,,,,,,,,
"	FULL SHOT - HELMUT, PRISONERS",,,,,,,,
,,,,,,,,
	The men converge and form a half circle around him.,,,,,,,,
,,,,,,,,
"	As the men close in on him, he moves back until we cna see ",,,,,,,,
	the barbed wire fence behind him.  Helmut senses their ,,,,,,,,
	disposition and remains warily silent.  Keltner and Franz ,,,,,,,,
	stand slightly behind the pack.,,,,,,,,
,,,,,,,,
				  GALT,,,,,,,,
"		What'd you say now, Mr. Doork, ",,,,,,,,
		Almighty!,,,,,,,,
			(to men),,,,,,,,
		Last night he wouldn't give us a ,,,,,,,,
		laugh.  Today they won't give us ,,,,,,,,
		food.,,,,,,,,
,,,,,,,,
				  LUDWIG,,,,,,,,
			(venomously),,,,,,,,
		What were you doing?  Making a deal ,,,,,,,,
		with your guard pal to slip you some ,,,,,,,,
		food?,,,,,,,,
,,,,,,,,
				  HELMUT,,,,,,,,
			(indignantly),,,,,,,,
		No!  I was asking him about the forms ,,,,,,,,
		he'd promised to get me.,,,,,,,,
			(admonishing),,,,,,,,
		Because of last night... I'm not ,,,,,,,,
		getting them.,,,,,,,,
,,,,,,,,
"	Keltner, seeing how disappointed Helmut is, moves up through ",,,,,,,,
	the group.,,,,,,,,
,,,,,,,,
				  KELTNER,,,,,,,,
			(encouragingly),,,,,,,,
"		When this blows over, Helmut, we'll...",,,,,,,,
,,,,,,,,
				  LUDWIG,,,,,,,,
			(interrupting),,,,,,,,
		Don't feel sorry for him.  He's got ,,,,,,,,
		no one to blame but himself.  The ,,,,,,,,
		whole thing was his doing.,,,,,,,,
,,,,,,,,
				  ADOLF,,,,,,,,
		He's been telling us how great he ,,,,,,,,
		is; how funny.  Why?  Why couldn't ,,,,,,,,
		he have done a trick or two for us?,,,,,,,,
,,,,,,,,
				  UHLMANN,,,,,,,,
		The Reverend did a turn.  What's so ,,,,,,,,
		special about him?,,,,,,,,
,,,,,,,,
	The men voice agreement... Helmut should have performed.  ,,,,,,,,
	Helmut starts to go around one end of the semi-circle but ,,,,,,,,
	the men bar his way.,,,,,,,,
,,,,,,,,
				  KELTNER,,,,,,,,
		Don't start anything here.  We're in ,,,,,,,,
		enough trouble.,,,,,,,,
,,,,,,,,
"	The other prisoners in the b.g., those who have remained in ",,,,,,,,
	the yard to see what was going to happen to the men of ,,,,,,,,
"	barracks H, sense trouble, the kind they want no part of, ",,,,,,,,
	and begin scurrying back to their own barracks.,,,,,,,,
,,,,,,,,
				  UHLMANN,,,,,,,,
"		We're not starting anything, we're ",,,,,,,,
		finishing something.,,,,,,,,
,,,,,,,,
				  GALT,,,,,,,,
		We've decided Doork here is going to ,,,,,,,,
		keep us laughing so hard we won't be ,,,,,,,,
		able to hear our stomachs growling.,,,,,,,,
,,,,,,,,
				  STOUT PRISONER,,,,,,,,
"		Better hurry it up, clown.  'Cause ",,,,,,,,
		my stomach's growling already. Can ,,,,,,,,
		you hear it?,,,,,,,,
,,,,,,,,
				  HERMAN,,,,,,,,
		Hear it!  The whole place hears it.,,,,,,,,
,,,,,,,,
	The men take a few steps toward Helmut as they call for him ,,,,,,,,
	to perform.,,,,,,,,
,,,,,,,,
				  MEN,,,,,,,,
"		Yeah, Doork, do a trick. How about ",,,,,,,,
		that night in Munich when they ,,,,,,,,
		wouldn't stop laughing.  How about ,,,,,,,,
"		it, Doork? Come on, just a little ",,,,,,,,
		trick.  Give us one laugh.  That's ,,,,,,,,
"		all we're asking for.  Come on, ",,,,,,,,
"		Helmut, do something.",,,,,,,,
,,,,,,,,
"	Helmut, hoping to stall the inevitable, still hoping to ",,,,,,,,
	preserve for a while longer his beautiful myth of being a ,,,,,,,,
"	great clown, holds up his hands for the men to be quiet.  ",,,,,,,,
	Franz interpreting the gesture as giving in to the demands ,,,,,,,,
	of the men...,,,,,,,,
,,,,,,,,
				  FRANZ,,,,,,,,
			(excitedly),,,,,,,,
		He's going to do it!  He's going to ,,,,,,,,
		do it!,,,,,,,,
,,,,,,,,
	The men quiet down and move back a few steps to give Helmut ,,,,,,,,
	room.,,,,,,,,
,,,,,,,,
				  HELMUT,,,,,,,,
			(grandly),,,,,,,,
		Nothing pleases an artist more than ,,,,,,,,
		to perform.  I'm going to do a real ,,,,,,,,
		show for you.  All I ask is that you ,,,,,,,,
		give me a little time...  time to ,,,,,,,,
		get things together...  things I can ,,,,,,,,
		use as props...  I'll even try to ,,,,,,,,
"		make a costume, and...",,,,,,,,
,,,,,,,,
				  ADOLF,,,,,,,,
		You don't need a costume.  We've got ,,,,,,,,
		imagination.,,,,,,,,
,,,,,,,,
				  (TO MEN),,,,,,,,
