,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
,,,,,,,,
                                           HARRIMAN,,,,,,,,
"                             Excuse me, gentlemen... if you'll ",,,,,,,,
                             take your seats.,,,,,,,,
,,,,,,,,
                                           KIRK,,,,,,,,
                             Oh... of course.,,,,,,,,
,,,,,,,,
              10   NEW ANGLE                                                   10,,,,,,,,
,,,,,,,,
                   Revealing that three CHAIRS have been neatly arranged ,,,,,,,,
                   to one side.,,,,,,,,
,,,,,,,,
"                   Scotty, Kirk and Chekov all take their seats. The ",,,,,,,,
                   Journalists take positions on the opposite side of the ,,,,,,,,
                   Bridge. Harriman moves to the command chair and the ,,,,,,,,
                   rest of the Bridge crew go to their stations.,,,,,,,,
,,,,,,,,
                                           HARRIMAN,,,,,,,,
                                     (to all),,,,,,,,
                             Prepare to leave spacedock. Aft ,,,,,,,,
"                             thrusters ahead one quarter, port ",,,,,,,,
                             and starboard at station keeping. ,,,,,,,,
                                     (beat) ,,,,,,,,
"                             Captain Kirk, I'd be honored if ",,,,,,,,
                             you would give the order to get ,,,,,,,,
                             underway.,,,,,,,,
,,,,,,,,
                                           KIRK,,,,,,,,
                             No... no. Thank you.,,,,,,,,
,,,,,,,,
                                           HARRIMAN,,,,,,,,
"                             Please, I insist.",,,,,,,,
,,,,,,,,
                   All eyes on Kirk -- he has little choice. He stands ,,,,,,,,
                   uncomfortably. There is a moment of anticipation.,,,,,,,,
,,,,,,,,
                                           KIRK,,,,,,,,
                                     (to all),,,,,,,,
                             Take us out.,,,,,,,,
,,,,,,,,
                   Everyone breaks into APPLAUSE. Kirk sits down in ,,,,,,,,
                   acute embarrassment and  annoyance.,,,,,,,,
,,,,,,,,
                                           CHEKOV,,,,,,,,
                                     (sotto),,,,,,,,
"                             Very good, sir.",,,,,,,,
,,,,,,,,
                                           SCOTTY,,,,,,,,
                                     (sotto),,,,,,,,
                             Brought a tear to my eye.,,,,,,,,
,,,,,,,,
                                                                          CUT TO:,,,,,,,,
  ,,,,,,,,
             11    EXT. SPACE- ENTERPRISE-B (VFX-I)                            11,,,,,,,,
,,,,,,,,
"                   The great ship majestically LEAVES the dock, and heads ",,,,,,,,
"                   out into open space, passing DIRECTLY OVERHEAD.",,,,,,,,
,,,,,,,,
             12    INT. ENTERPRISE-B - BRIDGE                                  12,,,,,,,,
,,,,,,,,
                   A short time later. Harriman turns to his guests.,,,,,,,,
,,,,,,,,
                                           HARRIMAN,,,,,,,,
                             Well... we've just cleared the ,,,,,,,,
                             asteroid belt. Our course will ,,,,,,,,
                             take us out beyond Pluto and then ,,,,,,,,
                             back to spacedock. Just a quick ,,,,,,,,
                             run around the block. ,,,,,,,,
                                     (beat) ,,,,,,,,
"                             If we have time, we'll conduct a ",,,,,,,,
                             few tests of the warp --,,,,,,,,
,,,,,,,,
                   Suddenly the communications console starts to BEEP. ,,,,,,,,
                   The COM OFFICER hits a few commands in response.,,,,,,,,
,,,,,,,,
                                           COM OFFICER,,,,,,,,
                                     (to Harriman),,,,,,,,
"                             We're picking up a distress call, ",,,,,,,,
                             Captain.,,,,,,,,
,,,,,,,,
                   This grabs everyone's attention.,,,,,,,,
,,,,,,,,
                                           HARRIMAN,,,,,,,,
                             On speakers.,,,,,,,,
,,,,,,,,
                   We hear the voice of a crewmember who sounds panicked ,,,,,,,,
                   and urgent.,,,,,,,,
,,,,,,,,
                                           COM VOICE,,,,,,,,
                                     (fritzed),,,,,,,,
                             This is the transport ship Lakul. ,,,,,,,,
                             We're caught in some kind of,,,,,,,,
                             energy distortion. We can't break ,,,,,,,,
                             free... need immediate help... ,,,,,,,,
                             It' tearing us --,,,,,,,,
,,,,,,,,
                   The voice is drowned out by STATIC. The SCIENCE ,,,,,,,,
                   OFFICER checks something on his console. The ,,,,,,,,
                   Journalist with the Holo-camera turns on his light and ,,,,,,,,
                   pans it around to capture the action.,,,,,,,,
,,,,,,,,
                                           SCIENCE OFFICER,,,,,,,,
                             The Lakul is one of two ships ,,,,,,,,
                             transporting El-Aurian refugees to ,,,,,,,,
                             Earth.,,,,,,,,
,,,,,,,,
"                   Harriman blinks a couple of times, surprised at this ",,,,,,,,
                   unexpected turn of  events. Kirk watches him intently. ,,,,,,,,
"                   Harriman clears his throat, then turns to Demora.",,,,,,,,
,,,,,,,,
                                           HARRIMAN,,,,,,,,
                             Can you locate them?,,,,,,,,
,,,,,,,,
                                           DEMORA,,,,,,,,
                             The ships are bearing at three one,,,,,,,,
                             zero mark two one five. Distance:,,,,,,,,
                             Three light years.,,,,,,,,
,,,,,,,,
                                           HARRIMAN,,,,,,,,
                             Signal the closest starship. ,,,,,,,,
                             We're in no condition to mount a ,,,,,,,,
                             rescue... We don't even have a ,,,,,,,,
                             full crew aboard.,,,,,,,,
,,,,,,,,
                   The NAVIGATOR checks his console.,,,,,,,,
,,,,,,,,
                                           NAVIGATOR,,,,,,,,
"                             We're the only one in range, sir.",,,,,,,,
,,,,,,,,
                   The Holo-camera light is shined on Harriman as he ,,,,,,,,
