,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
          ,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
          67.,,,,,,,,
,,,,,,,,
          RICHARD,,,,,,,,
          No.,,,,,,,,
          Margaret gives Richard a disbelieving look.,,,,,,,,
          RICHARD (cont'd),,,,,,,,
"          Sorta.   OK, Yes.   Coming back here with",,,,,,,,
          you...   I get the promotion and I get to,,,,,,,,
          show off.   You're editor in chief.   You make,,,,,,,,
          a good prop.,,,,,,,,
,,,,,,,,
          MARGARET,,,,,,,,
,,,,,,,,
          (SMILING),,,,,,,,
          I guess that's a compliment.,,,,,,,,
,,,,,,,,
          RICHARD,,,,,,,,
          So now you know I'm a petty asshole.   Am I,,,,,,,,
          trustworthy again?,,,,,,,,
,,,,,,,,
          MARGARET,,,,,,,,
"          Oh yeah, we're good.   By the way, you're",,,,,,,,
"          more screwed up than I am, Paxton.",,,,,,,,
,,,,,,,,
          RICHARD,,,,,,,,
          Yeah.   Thanks.,,,,,,,,
,,,,,,,,
          MARGARET,,,,,,,,
          One more question...,,,,,,,,
,,,,,,,,
          RICHARD,,,,,,,,
"          Yes, everyone at work thinks you're a",,,,,,,,
          lesbian.,,,,,,,,
,,,,,,,,
          MARGARET,,,,,,,,
          That wasn't my question.,,,,,,,,
,,,,,,,,
          RICHARD,,,,,,,,
          I know.   Just lashing out.,,,,,,,,
          Margaret smiles.,,,,,,,,
,,,,,,,,
          MARGARET,,,,,,,,
          Can we stop gutting fish?   I need my phone.,,,,,,,,
,,,,,,,,
          INT. SITKA GENERAL STORE - DAY,,,,,,,,
,,,,,,,,
"          Richard and Margaret enter the well appointed general store,",,,,,,,,
"          filled with food, booze and electronics.   A mini Wal Mart.",,,,,,,,
,,,,,,,,
          RICHARD,,,,,,,,
          Hey Ramone.,,,,,,,,
,,,,,,,,
          RAMONE,,,,,,,,
          Hey Richard.   Hola mi amo.,,,,,,,,
"          Margaret recognizes Ramone, the male dancer from last night.",,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
          68.,,,,,,,,
,,,,,,,,
          MARGARET,,,,,,,,
,,,,,,,,
          (EMBARRASSED),,,,,,,,
          Hey.,,,,,,,,
"          They walk a few steps, and before Margaret can say a word.",,,,,,,,
          MARGARET (cont'd),,,,,,,,
          You know him?,,,,,,,,
,,,,,,,,
          RICHARD,,,,,,,,
          He was my shop teacher.,,,,,,,,
,,,,,,,,
          MARGARET,,,,,,,,
          Of course he was.   How many people are on,,,,,,,,
          this island?,,,,,,,,
          They start to fill their cart with cases of champagne.,,,,,,,,
,,,,,,,,
          RICHARD,,,,,,,,
          Like eight thousand?   Depends on the time of,,,,,,,,
          the year.,,,,,,,,
,,,,,,,,
          MARGARET,,,,,,,,
          Feels smaller.,,,,,,,,
          With the cart full they head to the checkout.,,,,,,,,
,,,,,,,,
          RICHARD,,,,,,,,
          (to Ramone),,,,,,,,
          You got the phone I called about?,,,,,,,,
,,,,,,,,
          RAMONE,,,,,,,,
"          Charged up, ready to go, number changed.",,,,,,,,
          Ramone throws Richard a phone.,,,,,,,,
,,,,,,,,
          RICHARD,,,,,,,,
"          Thanks, Ramone.",,,,,,,,
,,,,,,,,
          RAMONE,,,,,,,,
          No problem.,,,,,,,,
          Ramone gives Margaret a flirty wave.   She awkwardly waves back.,,,,,,,,
          Richard pushes the cart out the front door and does not pay.,,,,,,,,
          Margaret is confused.,,,,,,,,
,,,,,,,,
          EXT. SITKA GENERAL STORE - DAY - CONTINUOUS,,,,,,,,
,,,,,,,,
"          Richard keeps pushing the cart, Margaret catches up.",,,,,,,,
,,,,,,,,
          MARGARET,,,,,,,,
          Why's Ramone letting you steal his stuff?,,,,,,,,
,,,,,,,,
          RICHARD,,,,,,,,
          It's our stuff.,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
          ,,,,,,,,
,,,,,,,,
          69.,,,,,,,,
"          Richard points to the ""Paxton General Store"" sign.",,,,,,,,
,,,,,,,,
          MARGARET,,,,,,,,
          That must have been handy in High School.,,,,,,,,
,,,,,,,,
          RICHARD,,,,,,,,
          You have no idea.,,,,,,,,
,,,,,,,,
          MARGARET,,,,,,,,
          Should you leave the cart?,,,,,,,,
,,,,,,,,
          RICHARD,,,,,,,,
          It's our cart.   I didn't know you were such,,,,,,,,
          a prude.,,,,,,,,
,,,,,,,,
          MARGARET,,,,,,,,
          I've come to realize that being my assistant,,,,,,,,
          gave you more access to my life than I ever,,,,,,,,
"          imagined, but there are a few things you",,,,,,,,
          don't know about me.,,,,,,,,
,,,,,,,,
          RICHARD,,,,,,,,
"          I doubt it.   When I started, you were still",,,,,,,,
          wearing those Ugg boot things.,,,,,,,,
,,,,,,,,
          MARGARET,,,,,,,,
          (deadly serious),,,,,,,,
