,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
"      on his back, snoring blissfully.",,,,,,,,
,,,,,,,,
                                JORDAN (V.O.),,,,,,,,
                 It   was heaven on earth.,,,,,,,,
,,,,,,,,
      On screen WE SEE:,,,,,,,,
,,,,,,,,
                          18 MONTHS LATER,,,,,,,,
,,,,,,,,
      Splash!   A glass of water hits him in the face.,,,,,,,,
,,,,,,,,
                               NAOMI,,,,,,,,
"                 Wake up, you bag of shit!",,,,,,,,
,,,,,,,,
"      Soaking wet, Jordan sits upright to see Naomi standing",,,,,,,,
"      over him in a tiny pink chemise, holding an empty glass.",,,,,,,,
,,,,,,,,
                               JORDAN,,,,,,,,
                 The fuck are you doing?!,,,,,,,,
,,,,,,,,
                                   NAOMI,,,,,,,,
                 Who's Venice?,,,,,,,,
,,,,,,,,
                                   JORDAN,,,,,,,,
                 What?!,,,,,,,,
,,,,,,,,
                               NAOMI,,,,,,,,
                 Who is she?! Some little hooker,,,,,,,,
                 you fucked last night?,,,,,,,,
,,,,,,,,
                                   JORDAN,,,,,,,,
                 What?    No!    Naomi!,,,,,,,,
,,,,,,,,
      And as Naomi storms off for a re-fill...,,,,,,,,
,,,,,,,,
,,,,,,,,
117   INT. HOTEL ROOM - THE NIGHT BEFORE        (FEB `95)              117,,,,,,,,
,,,,,,,,
"      Jordan lies on the ground, hands tied with a lit candle          *",,,,,,,,
      up his ass.                                                      *,,,,,,,,
,,,,,,,,
                               JORDAN                                  *,,,,,,,,
"                 Venice, where are you?                                *",,,,,,,,
,,,,,,,,
"      VENICE, A Blue Chip Hooker, enters, pulls out a candle           *",,,,,,,,
      and straddles him. She drips wax on his back and pulls           *,,,,,,,,
      his hair.                                                        *,,,,,,,,
,,,,,,,,
,,,,,,,,
118   INT. JORDAN'S ESTATE - MASTER BEDROOM - DAY (FEB `95)            118,,,,,,,,
,,,,,,,,
"      Back to scene. Naomi holds another full glass, rocking",,,,,,,,
      back and forth on the balls of her feet like a fighter.,,,,,,,,
                                                                59.,,,,,,,,
       The Wolf of Wall Street   Buff Revised Pages    3/5/13,,,,,,,,
,,,,,,,,
                               NAOMI,,,,,,,,
                 You were calling her name in your,,,,,,,,
                 sleep!,,,,,,,,
,,,,,,,,
                               JORDAN,,,,,,,,
                 I can explain everything.,,,,,,,,
,,,,,,,,
                               NAOMI,,,,,,,,
                 Go ahead. More lies from the man,,,,,,,,
                 who lies for a living!,,,,,,,,
,,,,,,,,
                               JORDAN,,,,,,,,
"                 No, really. Donnie and me, we're",,,,,,,,
                 investing in a condo development,,,,,,,,
                 in Venice.,,,,,,,,
,,,,,,,,
                                 NAOMI,,,,,,,,
                 Italy?!,,,,,,,,
,,,,,,,,
                               JORDAN,,,,,,,,
"                 California, baby.",,,,,,,,
,,,,,,,,
                                 NAOMI,,,,,,,,
"                 Yeah, right.",,,,,,,,
,,,,,,,,
                               JORDAN,,,,,,,,
"                 Duchess, come on.",,,,,,,,
,,,,,,,,
                               NAOMI,,,,,,,,
"                 Don't `Duchess' me, you scumbag.",,,,,,,,
                 You think I don't know what you're,,,,,,,,
                 up to? You're a father now and,,,,,,,,
                 you act like an infant!,,,,,,,,
,,,,,,,,
"      Splash!   She nails him again, crosses for more water.",,,,,,,,
,,,,,,,,
                                 JORDAN,,,,,,,,
                 Fuck. Naomi!    Why are you so mad?,,,,,,,,
,,,,,,,,
                               NAOMI,,,,,,,,
                 Where do you want me to start?,,,,,,,,
                 How about you flying in here on,,,,,,,,
                 your stupid helicopter at three in,,,,,,,,
                 the morning waking up Skylar?!,,,,,,,,
,,,,,,,,
,,,,,,,,
119   EXT. JORDAN'S ESTATE - YARD - NIGHT      (FEB `95)              119,,,,,,,,
,,,,,,,,
      Jordan crash-lands the helicopter on the driving range.         *,,,,,,,,
"      He exits, gives Captain Dave a salute, fights his way           *",,,,,,,,
"      through the bushes, then stumbles toward the house and          *",,,,,,,,
"      falls into the pool, stoned out of his skull. Security          *",,,,,,,,
      floodlights come on and the alarm sounds.                       *,,,,,,,,
                                                               60.,,,,,,,,
       The Wolf of Wall Street   Buff Revised Pages   3/5/13,,,,,,,,
,,,,,,,,
                               NAOMI (O.S.),,,,,,,,
                 Does it even matter to you that I,,,,,,,,
                 just had that driving range sodded,,,,,,,,
                 with Bermuda grass?,,,,,,,,
,,,,,,,,
,,,,,,,,
120   INT. JORDAN'S ESTATE - MASTER BEDROOM - DAY (FEB `95)          120,,,,,,,,
,,,,,,,,
      Back to scene.   Naomi holds another glass of water.,,,,,,,,
,,,,,,,,
                               NAOMI,,,,,,,,
                 But why should you give a shit?,,,,,,,,
                 You're not the one who researched,,,,,,,,
                 the fucking thing and dealt with,,,,,,,,
                 the fucking golf course people!,,,,,,,,
,,,,,,,,
                               JORDAN,,,,,,,,
                 You're an aspiring landscape,,,,,,,,
                 architect?! But what happened to,,,,,,,,
"                 wine connoisseur? Oh wait, that",,,,,,,,
                 was last month!,,,,,,,,
,,,,,,,,
                                 NAOMI,,,,,,,,
                 Fuck you!,,,,,,,,
,,,,,,,,
"      Naomi winds up with the water glass. Jordan stands tall,",,,,,,,,
"      puffs himself up, arms flexed at his sides.",,,,,,,,
,,,,,,,,
                                NAOMI (CONT'D),,,,,,,,
"                 Stop flexing your arms, you look",,,,,,,,
                 like a fucking imbecile.,,,,,,,,
                       (re: his crotch),,,,,,,,
                 And don't think that impresses me,,,,,,,,
                 much.,,,,,,,,
,,,,,,,,
      Jordan looks down: he has a morning erection.,,,,,,,,
,,,,,,,,
                               JORDAN,,,,,,,,
                 I wasn't flexing my arms. You're,,,,,,,,
                 just lucky to have a husband who's,,,,,,,,
                 in such great shape. Now get over,,,,,,,,
                 here and kiss me!,,,,,,,,
,,,,,,,,
                                 NAOMI,,,,,,,,
                 Kiss you?!,,,,,,,,
,,,,,,,,
"      Splash! She nails him one last time, then storms out.",,,,,,,,
      He stands there dripping wet. To his erection:,,,,,,,,
,,,,,,,,
                               JORDAN,,,,,,,,
                 Where the fuck were you last,,,,,,,,
                 night?,,,,,,,,
,,,,,,,,
                               JORDAN (V.O.),,,,,,,,
                 My morning ritual. First I'd get,,,,,,,,
                 up and fight with Naomi about,,,,,,,,
                 whatever I did the night before.,,,,,,,,
                                                                  61.,,,,,,,,
        The Wolf of Wall Street   Buff Revised Pages   3/5/13,,,,,,,,
,,,,,,,,
120A   INT. JORDAN'S ESTATE - STEAM SHOWER - DAY                        120A,,,,,,,,
,,,,,,,,
       Jordan stands in the steaming shower.,,,,,,,,
,,,,,,,,
                                JORDAN (V.O.),,,,,,,,
                  Next it was a steam so I could,,,,,,,,
                  sweat out whatever drugs were,,,,,,,,
                  still in my system.,,,,,,,,
,,,,,,,,
,,,,,,,,
120B   INT. JORDAN'S ESTATE - MASTER BATHROOM - CONTINUOUS              120B,,,,,,,,
,,,,,,,,
       Jordan looks at himself in the mirror.      His eyes are,,,,,,,,
       bloodshot - he looks like shit.,,,,,,,,
,,,,,,,,
                                JORDAN (V.O.),,,,,,,,
                  After that I'd assess the damage.,,,,,,,,
,,,,,,,,
"       Jordan looks at a Visine bottle - ""Recommended Dosage -",,,,,,,,
"       Two Drops"". He squirts six drops in each eye.",,,,,,,,
,,,,,,,,
                                JORDAN (V.O.),,,,,,,,
                  What kind of maniac abuses eye,,,,,,,,
                  drops?,,,,,,,,
,,,,,,,,
,,,,,,,,
121    INT. JORDAN'S ESTATE - DRESSING ROOM - DAY (FEB `95)             121,,,,,,,,
,,,,,,,,
"       Fully dressed and standing amid hundreds of suits, Jordan",,,,,,,,
"       pops two white pills, swigs some juice.",,,,,,,,
,,,,,,,,
                                JORDAN (V.O.),,,,,,,,
"                  Then I'd get dressed, take my",,,,,,,,
"                  ""back pills"" to get me started,",,,,,,,,
                  then attempt to make up with her.,,,,,,,,
,,,,,,,,
,,,,,,,,
122    INT. JORDAN'S ESTATE - SKYLAR'S ROOM - DAY (FEB `95)             122,,,,,,,,
,,,,,,,,
       Jordan enters the tiny pink wonderland. On the fluffy,,,,,,,,
"       pink carpet is Naomi, now in a minidress hiked above her",,,,,,,,
"       hips, Manolo Blahniks showing polished red toes. Between",,,,,,,,
"       her legs sits SKYLAR, their 5-month-old daughter.",,,,,,,,
,,,,,,,,
                                  JORDAN,,,,,,,,
"                  Hey, Skylar.",,,,,,,,
,,,,,,,,
                                 NAOMI,,,,,,,,
                        (little girl voice),,,,,,,,
                  Good morning Daddy. Where's my,,,,,,,,
                  kiss?,,,,,,,,
,,,,,,,,
"       Jordan kisses the baby, picks her up.",,,,,,,,
                                                         62.,,,,,,,,
 The Wolf of Wall Street   Buff Revised Pages   3/5/13,,,,,,,,
,,,,,,,,
                         JORDAN,,,,,,,,
                (playing along),,,,,,,,
           Does Daddy get to kiss both his,,,,,,,,
           girls?,,,,,,,,
,,,,,,,,
                         NAOMI,,,,,,,,
"           Ohhh, no! Daddy doesn't even get",,,,,,,,
"           to touch Mommy for a very, very",,,,,,,,
           long time.,,,,,,,,
,,,,,,,,
"Naomi lays back on her elbows, thighs parted - she's",,,,,,,,
wearing no panties. The wind goes out of Jordan.,,,,,,,,
,,,,,,,,
                         JORDAN,,,,,,,,
"           C'mon, Nay, please. You know how",,,,,,,,
           sorry I am. I swear I--,,,,,,,,
,,,,,,,,
                         NAOMI,,,,,,,,
                (cutting him off),,,,,,,,
           Daddy shouldn't waste his time.,,,,,,,,
           And from now on it's going to be,,,,,,,,
"           nothing but short, short skirts",,,,,,,,
           around the house! And Mommy's,,,,,,,,
           so sick and tired of wearing,,,,,,,,
"           panties, uhhh. In fact she's",,,,,,,,
           decided to throw them all away.,,,,,,,,
                (parting her thighs),,,,,,,,
           So take a good look. You'll be,,,,,,,,
           seeing an awful lot of it around,,,,,,,,
"           the house, but no touching.",,,,,,,,
,,,,,,,,
She licks her lips seductively.     Jordan sets Skylar,,,,,,,,
"aside, starts grovelling.",,,,,,,,
,,,,,,,,
                         NAOMI (CONT'D),,,,,,,,
"           What's wrong, Daddy?",,,,,,,,
,,,,,,,,
"Naomi slips her index finger in her mouth, starts sucking",,,,,,,,
it. Jordan can barely speak.,,,,,,,,
,,,,,,,,
                         JORDAN,,,,,,,,
"           C'mon, why are you doing this?",,,,,,,,
           I said I'm sorry.,,,,,,,,
,,,,,,,,
                         NAOMI,,,,,,,,
                (pouting),,,,,,,,
"           Ohhhh poor, poor Dada. He loves to",,,,,,,,
           say how wrong he is when he's,,,,,,,,
           ready to come in his own pants.,,,,,,,,
           Isn't that right Dada? Mommy loves,,,,,,,,
"           Daddy so, so much and there's",,,,,,,,
           nothing she wants to do more right,,,,,,,,
           now than to make love to Daddy all,,,,,,,,
"           day long. Well, I guess it's time",,,,,,,,
           for Daddy to be taught his first,,,,,,,,
           lesson.,,,,,,,,
                                                                  63.,,,,,,,,
       The Wolf of Wall Street   Buff Revised Pages     3/5/13,,,,,,,,
,,,,,,,,
      Naomi runs her fingers over her stomach and on to her,,,,,,,,
"      inner thigh, then up toward her vagina. Jordan watches",,,,,,,,
"      transfixed, then a change comes over him...",,,,,,,,
,,,,,,,,
                               JORDAN,,,,,,,,
                 I wouldn't do that if I were you,,,,,,,,
                 Mommy. I think Mommy should hear a,,,,,,,,
                 story before she decides to please,,,,,,,,
                 herself like that.,,,,,,,,
                 Can Daddy tell Mommy a story?,,,,,,,,
                      (off her nod),,,,,,,,
                 And does mommy promise to keep her,,,,,,,,
"                 legs spread wide, wide open the",,,,,,,,
                 whole time?,,,,,,,,
                      (she nods dreamily),,,,,,,,
                 Good. Once upon a time there was,,,,,,,,
                 a great big mansion in Long Island,,,,,,,,
                 and the people who lived there had,,,,,,,,
                 lots and lots of money. But of,,,,,,,,
"                 all the possessions they had,",,,,,,,,
                 there was one thing that was much,,,,,,,,
                 more valuable than all the rest,,,,,,,,
"                 combined, and that was their",,,,,,,,
                 little baby daughter.,,,,,,,,
,,,,,,,,
"      Naomi listens, legs still spread, hand on her crotch.",,,,,,,,
,,,,,,,,
                               JORDAN (CONT'D),,,,,,,,
                 Now because he was very security-,,,,,,,,
"                 conscious, the Daddy hired two",,,,,,,,
"                 full-time guards, big hairy men",,,,,,,,
"                 both named Rocco, and they",,,,,,,,
                 installed security cameras all,,,,,,,,
                 around the house. And one of,,,,,,,,
                 those cameras is right over,,,,,,,,
                 Daddy's shoulder.,,,,,,,,
,,,,,,,,
      Naomi's eyes widen -- she look toward a Teddy Bear on a,,,,,,,,
      shelf. WE SEE that one of the eyes is a pinhole camera.,,,,,,,,
,,,,,,,,
                               JORDAN (CONT'D),,,,,,,,
"                 So smile, Mommy! You're on Candid",,,,,,,,
                 Camera!,,,,,,,,
,,,,,,,,
,,,,,,,,
123   INT. JORDAN'S ESTATE - GUARD HOUSE - DAY        (FEB `95)         123,,,,,,,,
,,,,,,,,
"      Mesmerized, ROCCO DAY watches a video screen, on which we",,,,,,,,
"      see a grainy image of Naomi, hand between her legs.",,,,,,,,
,,,,,,,,
,,,,,,,,
124   INT. JORDAN'S ESTATE - SKYLAR'S BEDROOM - DAY (FEB `95)           124,,,,,,,,
,,,,,,,,
      Naomi jumps up as if she's been electrocuted.,,,,,,,,
,,,,,,,,
